"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,1stcase,timestamp
USA,"123,313","+19,187","2,211",+515,"3,231","117,871","2,666",373,7,Jan 20,20200329000131
Italy,"92,472","+5,974","10,023",+889,"12,384","70,065","3,856","1,529",166,Jan 29,20200329000131
Spain,"73,235","+7,516","5,982",+844,"12,285","54,968","4,165","1,566",128,Jan 30,20200329000131
Germany,"57,695","+6,824",433,+82,"8,481","48,781","1,581",689,5,Jan 26,20200329000131
France,"37,575","+4,611","2,314",+319,"5,700","29,561","4,273",576,35,Jan 23,20200329000131
Iran,"35,408","+3,076","2,517",+139,"11,679","21,212","3,206",422,30,Feb 18,20200329000131
UK,"17,089","+2,546","1,019",+260,135,"15,935",163,252,15,Jan 30,20200329000131
Switzerland,"14,076","+1,148",264,+33,"1,530","12,282",301,"1,626",31,Feb 24,20200329000131
Netherlands,"9,762","+1,159",639,+93,3,"9,120",914,570,37,Feb 26,20200329000131
S. Korea,"9,478",+146,144,+5,"4,811","4,523",59,185,3,Jan 19,20200329000131
Belgium,"9,134","+1,850",353,+64,"1,063","7,718",789,788,30,Feb 03,20200329000131
Austria,"8,271",+574,68,+10,225,"7,978",135,918,8,Feb 24,20200329000131
Turkey,"7,402","+1,704",108,+16,70,"7,224",445,88,1,Mar 09,20200329000131
Canada,"5,655",+898,60,+5,396,"5,199",120,150,2,Jan 24,20200329000131
Portugal,"5,170",+902,100,+24,43,"5,027",89,507,10,Mar 01,20200329000131
Norway,"4,015",+244,23,+4,7,"3,985",84,741,4,Feb 25,20200329000131
Brazil,"3,904",+487,114,+22,6,"3,784",296,18,0.5,Feb 24,20200329000131
Australia,"3,635",+257,14,+1,170,"3,451",23,143,0.5,Jan 24,20200329000131
Israel,"3,619",+584,12,,89,"3,518",50,418,1,Feb 20,20200329000131
Sweden,"3,447",+378,105,,16,"3,326",239,341,10,Jan 30,20200329000131
Czechia,"2,631",+352,11,+2,11,"2,609",250,246,1,Feb 29,20200329000131
