"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop,timestamp
Chad,3,+1,,,,3,,0.2,,20200325000056
Djibouti,3,,,,,3,,3,,20200325000056
Liberia,3,,,,,3,,0.6,,20200325000056
Mozambique,3,+2,,,,3,,0.10,,20200325000056
Myanmar,3,+1,,,,3,,0.06,,20200325000056
Niger,3,,,,,3,,0.1,,20200325000056
St. Barth,3,,,,,3,,304,,20200325000056
Saint Lucia,3,,,,,3,,16,,20200325000056
Zambia,3,,,,,3,,0.2,,20200325000056
Nepal,2,,,,1,1,,0.07,,20200325000056
Bhutan,2,,,,,2,,3,,20200325000056
Laos,2,+2,,,,2,,0.3,,20200325000056
Mauritania,2,,,,,2,,0.4,,20200325000056
Nicaragua,2,,,,,2,,0.3,,20200325000056
Sint Maarten,2,,,,,2,,47,,20200325000056
Belize,1,,,,,1,,3,,20200325000056
Eritrea,1,,,,,1,,0.3,,20200325000056
Grenada,1,,,,,1,,9,,20200325000056
Libya,1,+1,,,,1,,0.1,,20200325000056
Montserrat,1,,,,,1,,200,,20200325000056
Papua New Guinea,1,,,,,1,,0.1,,20200325000056
St. Vincent Grenadines,1,,,,,1,,9,,20200325000056
Somalia,1,,,,,1,,0.06,,20200325000056
Syria,1,,,,,1,,0.06,,20200325000056
Timor-Leste,1,,,,,1,,0.8,,20200325000056
Turks and Caicos,1,,,,,1,,26,,20200325000056
Total:,"421,187","42,342","18,804","2,290","108,328","294,055","13,262",54.0,2.4,20200325000056
