"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
Pakistan,28,+7,,,2,26,,0.1,20200314011147
Panama,27,+13,1,,,26,,6.3,20200314011147
Belarus,27,+6,,,3,24,,2.9,20200314011147
Algeria,26,,2,,10,14,,0.6,20200314011147
Georgia,25,,,,,25,1,6.3,20200314011147
South Africa,24,+8,,,,24,,0.4,20200314011147
Ecuador,23,+6,1,+1,,22,1,1.3,20200314011147
Costa Rica,23,,,,,23,1,4.5,20200314011147
Senegal,21,+11,,,2,19,,1.3,20200314011147
Oman,19,+1,,,9,10,,3.7,20200314011147
Hungary,19,+3,,,,19,,2.0,20200314011147
Bosnia and Herzegovina,18,+7,,,,18,,5.5,20200314011147
Latvia,17,+1,,,1,16,,9.0,20200314011147
Tunisia,16,+3,,,,16,2,1.4,20200314011147
Colombia,16,+7,,,,16,,0.3,20200314011147
Azerbaijan,15,,1,,3,11,,1.5,20200314011147
Mexico,15,+3,,,4,11,1,0.1,20200314011147
North Macedonia,14,+5,,,1,13,,6.7,20200314011147
Cyprus,14,+4,,,,14,,11.6,20200314011147
Malta,12,+3,,,1,11,,,20200314011147
Macao,10,,,,10,0,,,20200314011147
Bolivia,10,+7,,,,10,,0.9,20200314011147
Maldives,9,+1,,,,9,,,20200314011147
Armenia,8,+2,,,,8,,2.7,20200314011147
Jamaica,8,+6,,,,8,,2.7,20200314011147
Morocco,7,+1,1,,1,5,1,0.2,20200314011147
Afghanistan,7,,,,,7,,0.2,20200314011147
Cambodia,7,+2,,,1,6,,0.4,20200314011147
Lithuania,6,+3,,,,6,,2.2,20200314011147
New Zealand,6,+1,,,,6,,1.2,20200314011147
Sri Lanka,6,+3,,,1,5,,0.3,20200314011147
French Guiana,6,,,,,6,,,20200314011147
Moldova,6,,,,,6,,1.5,20200314011147
Paraguay,6,,,,,6,1,0.8,20200314011147
Dominican Republic,5,,,,,5,,0.5,20200314011147
Réunion,5,+1,,,,5,,,20200314011147
Turkey,5,+4,,,,5,,0.1,20200314011147
Cuba,4,+1,,,,4,,0.4,20200314011147
Kazakhstan,4,+4,,,,4,,0.2,20200314011147
Liechtenstein,4,,,,,4,,,20200314011147
Uruguay,4,+4,,,,4,,1.2,20200314011147
Ukraine,3,,1,+1,,2,,0.1,20200314011147
Bangladesh,3,,,,1,2,,,20200314011147
Channel Islands,3,,,,,3,,,20200314011147
Faeroe Islands,3,+1,,,,3,,,20200314011147
French Polynesia,3,+2,,,,3,,,20200314011147
Martinique,3,,,,,3,,,20200314011147
Monaco,2,,,,,2,,,20200314011147
Nigeria,2,,,,,2,,,20200314011147
Aruba,2,+2,,,,2,,,20200314011147
Burkina Faso,2,,,,,2,,0.1,20200314011147
Cameroon,2,,,,,2,,0.1,20200314011147
DRC,2,+1,,,,2,,,20200314011147
Ghana,2,,,,,2,,0.1,20200314011147
Honduras,2,,,,,2,,0.2,20200314011147
Puerto Rico,2,+2,,,,2,,0.7,20200314011147
Saint Martin,2,,,,,2,,,20200314011147
Venezuela,2,+2,,,,2,,0.1,20200314011147
Guyana,1,,1,,,0,,,20200314011147
Sudan,1,+1,1,+1,,0,,,20200314011147
Andorra,1,,,,,1,,,20200314011147
Jordan,1,,,,1,0,,0.1,20200314011147
Nepal,1,,,,1,0,,,20200314011147
Antigua and Barbuda,1,+1,,,,1,,,20200314011147
Bhutan,1,,,,,1,,,20200314011147
Cayman Islands,1,+1,,,,1,,,20200314011147
Ivory Coast,1,,,,,1,,,20200314011147
Ethiopia,1,+1,,,,1,,,20200314011147
Gabon,1,+1,,,,1,,0.4,20200314011147
Gibraltar,1,,,,1,0,,,20200314011147
Guadeloupe,1,+1,,,,1,,,20200314011147
Guatemala,1,+1,,,,1,,0.1,20200314011147
Guinea,1,+1,,,,1,,0.1,20200314011147
Vatican City,1,,,,,1,,,20200314011147
Kenya,1,+1,,,,1,,,20200314011147
Mongolia,1,,,,,1,,0.3,20200314011147
St. Barth,1,,,,,1,,,20200314011147
St. Vincent Grenadines,1,,,,,1,,,20200314011147
Togo,1,,,,,1,,0.1,20200314011147
Trinidad and Tobago,1,,,,,1,,0.7,20200314011147
Total:,"145,500","10,923","5,420",438,"70,956","69,124","6,116",18.7,20200314011147
