"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,timestamp
India,"2,567",+24,72,,192,"2,303",,2,0.05,20200404000051
Saudi Arabia,"2,039",+154,25,+4,351,"1,663",41,59,0.7,20200404000051
Indonesia,"1,986",+196,181,+11,134,"1,671",,7,0.7,20200404000051
Thailand,"1,978",+103,19,+4,612,"1,347",23,28,0.3,20200404000051
Panama,"1,673",+198,41,+4,10,"1,622",50,388,10,20200404000051
Finland,"1,615",+97,20,+1,300,"1,295",72,291,4,20200404000051
Greece,"1,613",+69,63,+10,78,"1,472",92,155,6,20200404000051
Peru,"1,595",+181,61,+6,537,997,51,48,2,20200404000051
Mexico,"1,510",+132,50,+13,633,827,1,12,0.4,20200404000051
South Africa,"1,505",+43,9,+4,95,"1,401",7,25,0.2,20200404000051
Dominican Republic,"1,488",+108,68,+8,16,"1,404",147,137,6,20200404000051
Serbia,"1,476",+305,39,+8,54,"1,383",81,169,4,20200404000051
Iceland,"1,364",+45,4,,309,"1,051",12,"3,997",12,20200404000051
Argentina,"1,353",+88,42,+6,266,"1,045",,30,0.9,20200404000051
Colombia,"1,267",+106,25,+6,55,"1,187",50,25,0.5,20200404000051
UAE,"1,264",+240,9,+1,108,"1,147",2,128,0.9,20200404000051
Algeria,"1,171",+185,105,+19,62,"1,004",,27,2,20200404000051
Singapore,"1,114",+65,5,+1,282,827,24,190,0.9,20200404000051
Croatia,"1,079",+68,8,+1,92,979,39,263,2,20200404000051
Qatar,"1,075",+126,3,,93,979,37,373,1,20200404000051
Ukraine,"1,072",+175,27,+5,22,"1,023",16,25,0.6,20200404000051
Egypt,985,+120,66,+8,216,703,,10,0.6,20200404000051
Estonia,961,+103,12,+1,48,901,16,724,9,20200404000051
Slovenia,934,+37,20,+3,70,844,31,449,10,20200404000051
New Zealand,868,+71,1,,103,764,1,180,0.2,20200404000051
Hong Kong,845,+43,4,,173,668,8,113,0.5,20200404000051
Iraq,820,+48,54,,226,540,,20,1,20200404000051
Morocco,791,+83,48,+4,57,686,1,21,1,20200404000051
Armenia,736,+73,7,,43,686,30,248,2,20200404000051
Diamond Princess,712,,11,,619,82,10,,,20200404000051
Lithuania,696,+47,9,,7,680,11,256,3,20200404000051
Bahrain,672,+29,4,,382,286,3,395,2,20200404000051
Hungary,623,+38,26,+5,43,554,17,64,3,20200404000051
Moldova,591,+86,8,+2,26,557,65,147,2,20200404000051
Bosnia and Herzegovina,579,+46,17,+1,27,535,4,176,5,20200404000051
Cameroon,509,+203,8,+1,17,484,,19,0.3,20200404000051
Lebanon,508,+14,17,+1,50,441,26,74,2,20200404000051
Tunisia,495,+40,18,+4,5,472,26,42,2,20200404000051
Latvia,493,+35,1,+1,1,491,3,261,0.5,20200404000051
Bulgaria,485,+28,14,+4,30,441,21,70,2,20200404000051
Kazakhstan,464,+29,6,+3,29,429,6,25,0.3,20200404000051
Slovakia,450,+24,1,,10,439,3,82,0.2,20200404000051
Azerbaijan,443,+43,5,,32,406,7,44,0.5,20200404000051
Andorra,439,+11,16,+1,16,407,12,"5,682",207,20200404000051
North Macedonia,430,+46,12,+1,20,398,8,206,6,20200404000051
Kuwait,417,+75,,,82,335,16,98,,20200404000051
Costa Rica,416,+20,2,,11,403,13,82,0.4,20200404000051
Cyprus,396,+40,11,+1,28,357,11,328,9,20200404000051
Uruguay,386,+36,4,,86,296,13,111,1,20200404000051
Belarus,351,+47,4,,53,294,11,37,0.4,20200404000051
Taiwan,348,+9,5,,50,293,,15,0.2,20200404000051
Réunion,321,+13,,,40,281,3,359,,20200404000051
Jordan,310,+11,5,,58,247,5,30,0.5,20200404000051
Albania,304,+27,17,+1,89,198,7,106,6,20200404000051
Burkina Faso,302,+14,16,,50,236,,14,0.8,20200404000051
Afghanistan,281,+8,6,,10,265,,7,0.2,20200404000051
Cuba,269,+36,6,,15,248,8,24,0.5,20200404000051
Oman,252,+21,1,,57,194,3,49,0.2,20200404000051
San Marino,251,+6,32,+2,26,193,13,"7,397",943,20200404000051
Vietnam,239,+6,,,85,154,3,2,,20200404000051
Channel Islands,232,+39,4,+1,13,215,,"1,334",23,20200404000051
Uzbekistan,227,+22,2,,25,200,8,7,0.06,20200404000051
Honduras,222,+3,15,+1,3,204,10,22,2,20200404000051
Ivory Coast,218,+24,1,,19,198,,8,0.04,20200404000051
Nigeria,210,+26,4,+2,25,181,,1,0.02,20200404000051
Senegal,207,+12,1,,66,140,1,12,0.06,20200404000051
Ghana,205,+1,5,,31,169,2,7,0.2,20200404000051
Malta,202,+6,,,2,200,2,457,,20200404000051
Palestine,194,+33,1,,21,172,,38,0.2,20200404000051
Mauritius,186,+17,7,,,179,1,146,6,20200404000051
Faeroe Islands,179,+2,,,91,88,1,"3,663",,20200404000051
Montenegro,174,+30,2,,1,171,4,277,3,20200404000051
Sri Lanka,159,+8,4,,24,131,5,7,0.2,20200404000051
Georgia,155,+21,,,28,127,6,39,,20200404000051
Venezuela,153,+7,7,+2,52,94,6,5,0.2,20200404000051
DRC,148,+14,16,+3,3,129,,2,0.2,20200404000051
Martinique,143,+5,3,,27,113,18,381,8,20200404000051
Brunei,134,+1,1,,65,68,3,306,2,20200404000051
Bolivia,132,+9,9,+1,1,122,3,11,0.8,20200404000051
Guadeloupe,130,+2,7,+1,24,99,14,325,17,20200404000051
Kyrgyzstan,130,+14,1,+1,6,123,5,20,0.2,20200404000051
Mayotte,128,+12,2,+1,10,116,3,469,7,20200404000051
Kenya,122,+12,4,+1,4,114,2,2,0.07,20200404000051
Niger,120,+22,5,,,115,,5,0.2,20200404000051
Isle of Man,114,+19,1,,,113,,"1,341",12,20200404000051
Cambodia,114,+4,,,35,79,1,7,,20200404000051
Trinidad and Tobago,98,+4,6,+1,1,91,,70,4,20200404000051
Gibraltar,95,+7,,,46,49,,"2,820",,20200404000051
Paraguay,92,+15,3,,6,83,2,13,0.4,20200404000051
Rwanda,89,+5,,,,89,,7,,20200404000051
Liechtenstein,75,,,,,75,,"1,967",,20200404000051
Guinea,73,+21,,,2,71,,6,,20200404000051
Madagascar,70,+11,,,,70,6,3,,20200404000051
Monaco,64,+4,1,,3,60,2,"1,631",25,20200404000051
Aruba,62,+2,,,1,61,,581,,20200404000051
Bangladesh,61,+5,6,,26,29,1,0.4,0.04,20200404000051
French Guiana,57,+6,,,22,35,1,191,,20200404000051
Jamaica,53,+6,3,,7,43,,18,1,20200404000051
Barbados,51,+5,,,,51,,177,,20200404000051
Guatemala,50,+3,1,,12,37,1,3,0.06,20200404000051
Djibouti,49,+9,,,8,41,,50,,20200404000051
Uganda,48,+3,,,,48,,1,,20200404000051
El Salvador,46,+5,3,+1,,43,4,7,0.5,20200404000051
Macao,42,+1,,,10,32,,65,,20200404000051
Togo,40,+1,3,+1,17,20,,5,0.4,20200404000051
Mali,39,+3,3,,,36,,2,0.1,20200404000051
Zambia,39,,1,,2,36,,2,0.05,20200404000051
French Polynesia,39,+2,,,,39,1,139,,20200404000051
Bermuda,35,,,,14,21,,562,,20200404000051
Ethiopia,35,+6,,,3,32,2,0.3,,20200404000051
Cayman Islands,29,+1,1,,1,27,,441,15,20200404000051
Bahamas,24,,3,+2,,21,1,61,8,20200404000051
Guyana,23,+4,4,,,19,,29,5,20200404000051
Sint Maarten,23,+5,4,+3,6,13,,536,93,20200404000051
Congo,22,,2,,2,18,,4,0.4,20200404000051
Saint Martin,22,,1,,2,19,,569,26,20200404000051
Eritrea,22,,,,,22,,6,,20200404000051
Gabon,21,,1,,1,19,,9,0.4,20200404000051
Myanmar,20,,1,,,19,,0.4,0.02,20200404000051
Tanzania,20,,1,,3,16,,0.3,0.02,20200404000051
Maldives,19,,,,13,6,,35,,20200404000051
Haiti,18,+2,,,1,17,,2,,20200404000051
New Caledonia,18,,,,1,17,,63,,20200404000051
Libya,17,+6,1,,,16,,2,0.1,20200404000051
Syria,16,,2,,,14,,0.9,0.1,20200404000051
Benin,16,+3,,,2,14,,1,,20200404000051
Equatorial Guinea,16,+1,,,1,15,,11,,20200404000051
Antigua and Barbuda,15,+6,,,,15,1,153,,20200404000051
Guinea-Bissau,15,+6,,,,15,,8,,20200404000051
Dominica,14,+2,,,,14,,194,,20200404000051
Mongolia,14,,,,2,12,,4,,20200404000051
Namibia,14,,,,3,11,,6,,20200404000051
Saint Lucia,13,,,,1,12,,71,,20200404000051
Grenada,12,+2,,,,12,2,107,,20200404000051
Curaçao,11,,1,,3,7,,67,6,20200404000051
Sudan,10,+2,2,,2,6,,0.2,0.05,20200404000051
Suriname,10,,1,+1,,9,,17,2,20200404000051
Greenland,10,,,,3,7,,176,,20200404000051
Laos,10,,,,,10,,1,,20200404000051
Mozambique,10,,,,,10,,0.3,,20200404000051
Seychelles,10,,,,,10,,102,,20200404000051
MS Zaandam,9,,2,,,7,,,,20200404000051
Zimbabwe,9,,1,,,8,,0.6,0.07,20200404000051
Saint Kitts and Nevis,9,,,,,9,,169,,20200404000051
Eswatini,9,,,,,9,,8,,20200404000051
Angola,8,,2,,1,5,,0.2,0.06,20200404000051
CAR,8,+5,,,,8,,2,,20200404000051
Chad,8,,,,,8,,0.5,,20200404000051
Fiji,7,,,,,7,,8,,20200404000051
Vatican City,7,,,,,7,,"8,739",,20200404000051
Liberia,7,+1,,,,7,,1,,20200404000051
St. Vincent Grenadines,7,+5,,,1,6,,63,,20200404000051
Somalia,7,+2,,,1,6,,0.4,,20200404000051
Cabo Verde,6,,1,,,5,,11,2,20200404000051
Mauritania,6,,1,,2,3,,1,0.2,20200404000051
Nepal,6,,,,1,5,,0.2,,20200404000051
Montserrat,6,+1,,,,6,,"1,202",,20200404000051
St. Barth,6,,,,1,5,,607,,20200404000051
Nicaragua,5,,1,,,4,,0.8,0.2,20200404000051
Bhutan,5,,,,2,3,,6,,20200404000051
Turks and Caicos,5,,,,,5,,129,,20200404000051
Botswana,4,,1,,,3,,2,0.4,20200404000051
Gambia,4,,1,,2,1,,2,0.4,20200404000051
Belize,4,+1,,,,4,,10,,20200404000051
Anguilla,3,,,,,3,,200,,20200404000051
British Virgin Islands,3,,,,,3,,99,,20200404000051
Burundi,3,,,,,3,,0.3,,20200404000051
Malawi,3,,,,,3,,0.2,,20200404000051
Caribbean Netherlands,2,,,,,2,,76,,20200404000051
Sierra Leone,2,,,,,2,,0.3,,20200404000051
Falkland Islands,1,+1,,,,1,,287,,20200404000051
Papua New Guinea,1,,,,,1,,0.1,,20200404000051
Timor-Leste,1,,,,,1,,0.8,,20200404000051
China,"81,620",+31,"3,322",+4,"76,571","1,727",379,57,2,20200404000051
Total:,"1,097,810","+82,745","59,140","+5,972","228,405","810,265","39,439",140.8,7.6,20200404000051
