"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
Taiwan,108,+8,1,,26,81,,5,20200320000033
Colombia,108,+15,,,1,107,,2,20200320000033
Bulgaria,107,+15,3,+1,,104,,15,20200320000033
Serbia,103,+14,,,1,102,4,12,20200320000033
Algeria,90,+15,9,+2,32,49,,2,20200320000033
Costa Rica,87,+18,1,,,86,2,17,20200320000033
Latvia,86,+15,,,1,85,,46,20200320000033
Vietnam,85,+9,,,16,69,,0.9,20200320000033
Uruguay,79,,,,,79,,23,20200320000033
Andorra,74,+21,,,1,73,,958,20200320000033
Hungary,73,+15,1,,2,70,4,8,20200320000033
Brunei,73,+5,,,,73,2,167,20200320000033
Faeroe Islands,72,+14,,,1,71,,"1,474",20200320000033
Jordan,69,+13,,,1,68,,7,20200320000033
Cyprus,67,+9,,,,67,1,55,20200320000033
Albania,64,+5,2,,,62,2,22,20200320000033
Bosnia and Herzegovina,64,+25,,,2,62,,20,20200320000033
Morocco,63,+9,2,,2,59,1,2,20200320000033
Sri Lanka,60,+9,,,3,57,,3,20200320000033
Malta,53,+5,,,2,51,,120,20200320000033
Belarus,51,,,,5,46,,5,20200320000033
North Macedonia,50,+7,,,1,49,1,24,20200320000033
Moldova,49,+13,1,,1,47,3,12,20200320000033
Lithuania,48,+14,,,1,47,1,18,20200320000033
Oman,48,+9,,,13,35,,9,20200320000033
Palestine,47,+3,,,,47,,9,20200320000033
Kazakhstan,44,+8,3,+3,,41,,2,20200320000033
Azerbaijan,44,+10,1,,7,36,,4,20200320000033
Venezuela,42,+6,,,,42,,1,20200320000033
Georgia,40,+2,,,1,39,1,10,20200320000033
Tunisia,39,+10,1,+1,1,37,2,3,20200320000033
Cambodia,37,,,,1,36,,2,20200320000033
Senegal,36,,,,2,34,,2,20200320000033
Dominican Republic,34,,2,,,32,,3,20200320000033
Burkina Faso,33,+6,1,,,32,,2,20200320000033
Guadeloupe,33,,,,,33,,82,20200320000033
New Zealand,28,+8,,,,28,,6,20200320000033
Liechtenstein,28,,,,,28,,734,20200320000033
Réunion,28,+14,,,,28,,31,20200320000033
Ukraine,26,+10,3,+1,,23,,0.6,20200320000033
Martinique,23,,1,,,22,,61,20200320000033
Uzbekistan,23,+5,,,,23,,0.7,20200320000033
Afghanistan,22,,,,1,21,,0.6,20200320000033
Bangladesh,18,+4,1,,3,14,,0.1,20200320000033
Macao,17,,,,10,7,,26,20200320000033
Jamaica,15,,1,,2,12,,5,20200320000033
Bolivia,15,+3,,,,15,,1,20200320000033
French Guiana,15,,,,,15,,50,20200320000033
DRC,14,+7,,,,14,,0.2,20200320000033
Cameroon,13,,,,,13,,0.5,20200320000033
Maldives,13,,,,,13,,24,20200320000033
Montenegro,13,+5,,,,13,,21,20200320000033
Paraguay,13,+2,,,,13,1,2,20200320000033
Nigeria,12,+4,,,1,11,,0.06,20200320000033
Guam,12,+4,,,,12,,71,20200320000033
Honduras,12,+3,,,,12,,1,20200320000033
Cuba,11,+1,1,,,10,,1.0,20200320000033
Channel Islands,11,+4,,,,11,,63,20200320000033
Ghana,11,+4,,,,11,,0.4,20200320000033
Rwanda,11,,,,,11,,0.8,20200320000033
Monaco,10,+1,,,,10,,255,20200320000033
Gibraltar,10,+2,,,2,8,,297,20200320000033
Guatemala,9,+1,1,,,8,,0.5,20200320000033
Ivory Coast,9,,,,1,8,,0.3,20200320000033
Trinidad and Tobago,9,+2,,,,9,,6,20200320000033
Ethiopia,7,+1,,,,7,,0.06,20200320000033
Kenya,7,,,,,7,,0.1,20200320000033
Mauritius,7,+4,,,,7,,6,20200320000033
Equatorial Guinea,6,+2,,,,6,,4,20200320000033
French Polynesia,6,+1,,,,6,,21,20200320000033
Mongolia,6,,,,,6,,2,20200320000033
Puerto Rico,6,,,,,6,,2,20200320000033
Seychelles,6,,,,,6,,61,20200320000033
Tanzania,6,+3,,,,6,,0.1,20200320000033
Guyana,5,+1,1,,,4,,6,20200320000033
Aruba,5,+1,,,1,4,,47,20200320000033
Barbados,5,+3,,,,5,,17,20200320000033
Mayotte,4,+1,,,,4,,15,20200320000033
Cayman Islands,3,+2,1,,,2,,46,20200320000033
Curaçao,3,,1,+1,,2,,18,20200320000033
Bahamas,3,+2,,,,3,,8,20200320000033
Congo,3,+2,,,,3,,0.5,20200320000033
Gabon,3,,,,,3,,1,20200320000033
Kyrgyzstan,3,,,,,3,,0.5,20200320000033
Namibia,3,+1,,,,3,,1,20200320000033
St. Barth,3,,,,,3,,304,20200320000033
Saint Martin,3,,,,,3,,78,20200320000033
U.S. Virgin Islands,3,+1,,,,3,,29,20200320000033
Sudan,2,,1,,,1,,0.05,20200320000033
Benin,2,,,,,2,,0.2,20200320000033
Bermuda,2,,,,,2,,32,20200320000033
Greenland,2,,,,,2,,35,20200320000033
Liberia,2,,,,,2,,0.4,20200320000033
Mauritania,2,,,,,2,,0.4,20200320000033
New Caledonia,2,,,,,2,,7,20200320000033
Saint Lucia,2,,,,,2,,11,20200320000033
Zambia,2,,,,,2,,0.1,20200320000033
Nepal,1,,,,1,0,,0.03,20200320000033
Antigua and Barbuda,1,,,,,1,,10,20200320000033
Bhutan,1,,,,,1,,1,20200320000033
CAR,1,,,,,1,,0.2,20200320000033
Chad,1,+1,,,,1,,0.06,20200320000033
Djibouti,1,,,,,1,,1,20200320000033
El Salvador,1,+1,,,,1,,0.2,20200320000033
Fiji,1,+1,,,,1,,1,20200320000033
Gambia,1,,,,,1,,0.4,20200320000033
Guinea,1,,,,,1,,0.08,20200320000033
Vatican City,1,,,,,1,,"1,248",20200320000033
Isle of Man,1,+1,,,,1,,12,20200320000033
Montserrat,1,,,,,1,,200,20200320000033
Nicaragua,1,+1,,,,1,,0.2,20200320000033
Niger,1,+1,,,,1,,0.04,20200320000033
St. Vincent Grenadines,1,,,,,1,,9,20200320000033
Sint Maarten,1,,,,,1,,23,20200320000033
Somalia,1,,,,,1,,0.06,20200320000033
Suriname,1,,,,,1,,2,20200320000033
Eswatini,1,,,,,1,,0.9,20200320000033
Togo,1,,,,,1,,0.1,20200320000033
Total:,"244,919","26,097","10,031","1,080","87,408","147,480","7,516",31.4,20200320000033
