"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,timestamp
Zambia,39,,1,,3,35,,2,0.05,619,34,20200406000259
Bermuda,37,,,,14,23,,594,,298,"4,785",20200406000259
Saint Martin,32,+8,2,,7,23,6,828,52,,,20200406000259
Bahamas,29,+1,5,+1,4,20,1,74,13,,,20200406000259
Eritrea,29,,,,,29,,8,,,,20200406000259
Sint Maarten,25,+2,4,,1,20,,583,93,82,"1,912",20200406000259
Guyana,24,+1,4,,,20,,31,5,93,118,20200406000259
Tanzania,22,+2,1,,3,18,,0.4,0.02,,,20200406000259
Benin,22,+6,,,5,17,,2,,,,20200406000259
Gabon,21,,1,,1,19,,9,0.4,,,20200406000259
Haiti,21,+1,1,+1,1,19,,2,0.09,247,22,20200406000259
Myanmar,21,,1,,,20,,0.4,0.02,,,20200406000259
Syria,19,+3,2,,2,15,,1,0.1,,,20200406000259
Maldives,19,,,,13,6,,35,,,,20200406000259
Libya,18,,1,,,17,,3,0.1,294,43,20200406000259
Guinea-Bissau,18,,,,,18,,9,,,,20200406000259
New Caledonia,18,+1,,,1,17,,63,,"1,983","6,946",20200406000259
Equatorial Guinea,16,,,,1,15,,11,,,,20200406000259
Namibia,16,+2,,,3,13,,6,,301,118,20200406000259
Antigua and Barbuda,15,,,,,15,1,153,,40,408,20200406000259
Angola,14,+4,2,,2,10,,0.4,0.06,,,20200406000259
Dominica,14,,,,,14,,194,,255,"3,542",20200406000259
Mongolia,14,,,,2,12,,4,,,,20200406000259
Saint Lucia,14,,,,1,13,,76,,,,20200406000259
Liberia,13,+3,3,+2,3,7,,3,0.6,,,20200406000259
Sudan,12,+2,2,,2,8,,0.3,0.05,,,20200406000259
Fiji,12,,,,,12,,13,,,,20200406000259
Grenada,12,,,,,12,2,107,,45,400,20200406000259
Curaçao,11,,1,,5,5,,67,6,,,20200406000259
Greenland,11,,,,3,8,,194,,542,"9,547",20200406000259
Laos,11,+1,,,,11,,2,,604,83,20200406000259
Suriname,10,,1,,,9,,17,2,,,20200406000259
Mozambique,10,,,,1,9,,0.3,,338,11,20200406000259
Saint Kitts and Nevis,10,+1,,,,10,,188,,149,"2,801",20200406000259
Seychelles,10,,,,,10,,102,,,,20200406000259
MS Zaandam,9,,2,,,7,,,,,,20200406000259
Zimbabwe,9,,1,,,8,,0.6,0.07,316,21,20200406000259
Nepal,9,,,,1,8,,0.3,,"1,521",52,20200406000259
Chad,9,,,,,9,,0.5,,,,20200406000259
Eswatini,9,,,,,9,,8,,,,20200406000259
CAR,8,,,,,8,,2,,,,20200406000259
Cabo Verde,7,,1,,,6,,13,2,,,20200406000259
Vatican City,7,,,,,7,,"8,739",,,,20200406000259
St. Vincent Grenadines,7,,,,1,6,,63,,,,20200406000259
Somalia,7,,,,1,6,,0.4,,,,20200406000259
Botswana,6,+2,1,,,5,,3,0.4,966,411,20200406000259
Mauritania,6,,1,,2,3,,1,0.2,67,14,20200406000259
Nicaragua,6,+1,1,,,5,,0.9,0.2,,,20200406000259
Montserrat,6,,,,,6,,"1,202",,,,20200406000259
St. Barth,6,,,,1,5,,607,,,,20200406000259
Sierra Leone,6,+2,,,,6,,0.8,,,,20200406000259
Turks and Caicos,5,,1,+1,,4,,129,26,,,20200406000259
Belize,5,+1,,,,5,1,13,,102,257,20200406000259
Bhutan,5,,,,2,3,,6,,,,20200406000259
Gambia,4,,1,,2,1,,2,0.4,,,20200406000259
Malawi,4,,,,,4,,0.2,,,,20200406000259
Western Sahara,4,,,,,4,,7,,,,20200406000259
Anguilla,3,,,,,3,,200,,,,20200406000259
British Virgin Islands,3,,,,,3,,99,,,,20200406000259
Burundi,3,,,,,3,,0.3,,,,20200406000259
Caribbean Netherlands,2,,,,,2,,76,,10,381,20200406000259
Falkland Islands,2,+1,,,,2,,575,,,,20200406000259
Papua New Guinea,1,,,,,1,,0.1,,72,8,20200406000259
Saint Pierre Miquelon,1,+1,,,,1,,173,,,,20200406000259
South Sudan,1,+1,,,,1,,0.09,,,,20200406000259
Timor-Leste,1,,,,,1,,0.8,,,,20200406000259
China,"81,669",,"3,329",,"76,964","1,376",295,57,2,,,20200406000259
Total:,"1,272,530","+71,047","69,416","+4,726","261,485","941,629","45,619",163.3,8.9,,,20200406000259
