"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,timestamp
Chile,201,+45,,,,201,3,10.5,20200318000111
Egypt,196,+30,6,+2,26,164,,1.9,20200318000111
Philippines,187,+45,12,,5,170,1,1.7,20200318000111
Thailand,177,+30,1,,41,135,1,2.5,20200318000111
Indonesia,172,+38,7,+2,9,156,,0.6,20200318000111
Saudi Arabia,171,+38,,,6,165,,4.9,20200318000111
Hong Kong,168,+13,4,,81,83,4,22.4,20200318000111
Iraq,154,+21,11,+1,41,102,,3.8,20200318000111
India,143,+14,3,+1,14,126,,0.1,20200318000111
Luxembourg,140,+59,1,,,139,1,,20200318000111
Kuwait,130,+7,,,12,118,4,30.4,20200318000111
Lebanon,124,+15,4,+1,4,116,3,18.2,20200318000111
San Marino,119,+10,11,+2,4,104,11,,20200318000111
Peru,117,+31,,,1,116,8,3.5,20200318000111
Russia,114,+21,,,8,106,,0.8,20200318000111
UAE,113,+15,,,26,87,2,11.4,20200318000111
Ecuador,111,+53,2,,,109,2,6.3,20200318000111
Turkey,98,+51,1,+1,,97,,1.2,20200318000111
Slovakia,97,+25,,,,97,2,17.8,20200318000111
South Africa,85,+21,,,,85,,1.4,20200318000111
Mexico,82,+29,,,4,78,1,0.6,20200318000111
Bulgaria,81,+19,2,,,79,,11.7,20200318000111
Argentina,79,+14,2,,3,74,1,1.7,20200318000111
Armenia,78,+26,,,1,77,2,26.3,20200318000111
Taiwan,77,+10,1,,20,56,,3.2,20200318000111
Serbia,72,+15,,,1,71,4,8.2,20200318000111
Panama,69,,1,,,68,7,16.0,20200318000111
Croatia,69,+12,,,5,64,,16.8,20200318000111
Vietnam,66,+5,,,16,50,,0.7,20200318000111
Colombia,65,+11,,,1,64,,1.3,20200318000111
Algeria,61,+1,5,+1,10,46,,1.4,20200318000111
Latvia,60,+26,,,1,59,,31.8,20200318000111
Brunei,56,+2,,,,56,1,,20200318000111
Albania,55,+4,1,,,54,2,19.1,20200318000111
Hungary,50,+11,1,,2,47,,5.2,20200318000111
Costa Rica,50,+9,,,,50,3,9.8,20200318000111
Cyprus,49,+3,,,,49,1,40.6,20200318000111
Jordan,48,+19,,,1,47,,4.7,20200318000111
Faeroe Islands,47,+29,,,,47,,,20200318000111
Morocco,44,+7,2,+1,1,41,1,1.2,20200318000111
Sri Lanka,44,+16,,,1,43,,2.1,20200318000111
Palestine,41,+2,,,,41,,8.0,20200318000111
Andorra,39,+25,,,1,38,,,20200318000111
Malta,38,+8,,,2,36,,,20200318000111
Belarus,36,,,,3,33,,3.8,20200318000111
Azerbaijan,34,+9,1,,6,27,,3.4,20200318000111
Georgia,34,+1,,,1,33,1,8.5,20200318000111
Bosnia and Herzegovina,34,+9,,,2,32,,10.4,20200318000111
Cambodia,33,+21,,,1,32,,2.0,20200318000111
Oman,33,+9,,,12,21,,6.5,20200318000111
Kazakhstan,33,+23,,,,33,,1.8,20200318000111
Venezuela,33,+16,,,,33,,1.2,20200318000111
North Macedonia,31,+7,,,1,30,1,14.9,20200318000111
Moldova,30,+1,,,1,29,1,7.4,20200318000111
Uruguay,29,,,,,29,,8.3,20200318000111
Senegal,27,,,,2,25,,1.6,20200318000111
Lithuania,26,+8,,,1,25,1,9.6,20200318000111
Tunisia,25,+1,,,1,24,2,2.1,20200318000111
Afghanistan,22,+1,,,1,21,,0.6,20200318000111
Dominican Republic,21,,1,,,20,,1.9,20200318000111
Liechtenstein,19,+12,,,,19,,,20200318000111
Martinique,15,,1,,,14,,,20200318000111
Burkina Faso,15,,,,,15,,0.7,20200318000111
Ukraine,14,+7,2,+1,,12,,0.3,20200318000111
Macao,13,+1,,,10,3,,,20200318000111
Maldives,13,,,,,13,,,20200318000111
New Zealand,12,+4,,,,12,,2.5,20200318000111
Bolivia,12,+1,,,,12,,1.0,20200318000111
Jamaica,12,,,,2,10,,4.1,20200318000111
French Guiana,11,,,,,11,,,20200318000111
Uzbekistan,11,+3,,,,11,,0.3,20200318000111
Bangladesh,10,+2,,,3,7,,0.1,20200318000111
Cameroon,10,+5,,,,10,,0.4,20200318000111
Monaco,9,,,,,9,,,20200318000111
Paraguay,9,+1,,,,9,1,1.3,20200318000111
Réunion,9,,,,,9,,,20200318000111
Guatemala,8,,1,,,7,,0.4,20200318000111
Honduras,8,+2,,,,8,,0.8,20200318000111
Guyana,7,,1,,,6,,,20200318000111
Ghana,7,+1,,,,7,,0.2,20200318000111
Rwanda,7,,,,,7,,0.5,20200318000111
Channel Islands,6,,,,,6,,,20200318000111
Ethiopia,6,+1,,,,6,,0.1,20200318000111
Guadeloupe,6,,,,,6,,,20200318000111
Cuba,5,+1,,,,5,,0.4,20200318000111
Guam,5,+2,,,,5,,,20200318000111
Mongolia,5,+1,,,,5,,1.5,20200318000111
Puerto Rico,5,,,,,5,,1.7,20200318000111
Trinidad and Tobago,5,+1,,,,5,,3.6,20200318000111
Ivory Coast,4,,,,,4,,0.2,20200318000111
Kenya,4,+1,,,,4,,0.1,20200318000111
Seychelles,4,+1,,,,4,,,20200318000111
Nigeria,3,+1,,,1,2,,,20200318000111
Aruba,3,+1,,,,3,,,20200318000111
Curaçao,3,+1,,,,3,,,20200318000111
DRC,3,,,,,3,,,20200318000111
French Polynesia,3,,,,,3,,,20200318000111
Gibraltar,3,,,,2,1,,,20200318000111
Mayotte,3,+1,,,,3,,,20200318000111
St. Barth,3,,,,,3,,,20200318000111
Barbados,2,+2,,,,2,,,20200318000111
Liberia,2,+1,,,,2,,0.4,20200318000111
Montenegro,2,+2,,,,2,,,20200318000111
Namibia,2,,,,,2,,0.8,20200318000111
Saint Lucia,2,,,,,2,,,20200318000111
Saint Martin,2,,,,,2,,,20200318000111
U.S. Virgin Islands,2,+1,,,,2,,,20200318000111
Cayman Islands,1,,1,,,0,,,20200318000111
Sudan,1,,1,,,0,,,20200318000111
Nepal,1,,,,1,0,,,20200318000111
Antigua and Barbuda,1,,,,,1,,,20200318000111
Bahamas,1,,,,,1,,,20200318000111
Benin,1,,,,,1,,0.1,20200318000111
Bhutan,1,,,,,1,,,20200318000111
CAR,1,,,,,1,,0.2,20200318000111
Congo,1,,,,,1,,0.2,20200318000111
Equatorial Guinea,1,,,,,1,,0.7,20200318000111
Gabon,1,,,,,1,,0.4,20200318000111
Gambia,1,+1,,,,1,,0.4,20200318000111
Greenland,1,,,,,1,,,20200318000111
Guinea,1,,,,,1,,0.1,20200318000111
Vatican City,1,,,,,1,,,20200318000111
Mauritania,1,,,,,1,,0.2,20200318000111
St. Vincent Grenadines,1,,,,,1,,,20200318000111
Somalia,1,,,,,1,,0.1,20200318000111
Suriname,1,,,,,1,,,20200318000111
Eswatini,1,,,,,1,,0.9,20200318000111
Tanzania,1,,,,,1,,,20200318000111
Togo,1,,,,,1,,0.1,20200318000111
Total:,"198,178","15,704","7,965",803,"81,734","108,479","7,020",25.4,20200318000111
