0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,date,sitrep
Somalia,3,0,0,0,Imported cases only,2,,,,,,,,,,,20200329,69
Territories**,,,,,,,,,,,,,,,,,20200329,69
"occupied Palestinian 
territory 
104 
7 
1 
0 
Local transmission 
0",,,,,,,,,,,,,,,,,20200329,69
Region of the Americas,,,,,,,,,,,,,,,,,20200329,69
"United States of 
America",103321,18093,1668,425,Local transmission,0,,,,,,,,,,,20200329,69
Canada,4757,739,55,16,Local transmission,0,,,,,,,,,,,20200329,69
Brazil,3417,502,92,15,Local transmission,0,,,,,,,,,,,20200329,69
Chile,1909,299,6,1,Local transmission,0,,,,,,,,,,,20200329,69
Ecuador,1823,228,48,12,Local transmission,0,,,,,,,,,,,20200329,69
Panama,786,112,14,5,Local transmission,0,,,,,,,,,,,20200329,69
Mexico,717,128,12,4,Local transmission,0,,,,,,,,,,,20200329,69
Argentina,690,101,17,5,Local transmission,0,,,,,,,,,,,20200329,69
Peru,635,55,11,2,Local transmission,0,,,,,,,,,,,20200329,69
Dominican Republic,581,0,20,0,Local transmission,1,,,,,,,,,,,20200329,69
Colombia,539,48,6,0,Local transmission,0,,,,,,,,,,,20200329,69
Uruguay,274,36,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Costa Rica,263,32,2,0,Local transmission,0,,,,,,,,,,,20200329,69
Cuba,119,39,3,1,Local transmission,0,,,,,,,,,,,20200329,69
"Venezuela (Bolivarian 
Republic of)",113,7,2,2,Local transmission,0,,,,,,,,,,,20200329,69
"Bolivia (Plurinational 
State of)",74,13,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Trinidad and Tobago,74,8,2,0,Local transmission,0,,,,,,,,,,,20200329,69
Honduras,67,0,1,0,Local transmission,1,,,,,,,,,,,20200329,69
Paraguay,56,4,3,0,Local transmission,0,,,,,,,,,,,20200329,69
Guatemala,32,7,1,0,Local transmission,0,,,,,,,,,,,20200329,69
Jamaica,30,4,1,0,Local transmission,0,,,,,,,,,,,20200329,69
Barbados,24,0,0,0,Local transmission,1,,,,,,,,,,,20200329,69
El Salvador,19,6,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Dominica,11,0,0,0,Local transmission,2,,,,,,,,,,,20200329,69
Bahamas,10,1,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Haiti,8,0,0,0,Imported cases only,3,,,,,,,,,,,20200329,69
Suriname,8,0,0,0,Imported cases only,1,,,,,,,,,,,20200329,69
Antigua and Barbuda,7,0,0,0,Imported cases only,1,,,,,,,,,,,20200329,69
Grenada,7,0,0,0,Local transmission,2,,,,,,,,,,,20200329,69
Guyana,5,0,1,0,Local transmission,10,,,,,,,,,,,20200329,69
Nicaragua,4,2,1,0,Imported cases only,0,,,,,,,,,,,20200329,69
Saint Lucia,3,0,0,0,Imported cases only,5,,,,,,,,,,,20200329,69
Belize,2,0,0,0,Local transmission,3,,,,,,,,,,,20200329,69
Saint Kitts and Nevis,2,0,0,0,Imported cases only,3,,,,,,,,,,,20200329,69
"Saint Vincent and the 
Grenadines",1,0,0,0,Imported cases only,16,,,,,,,,,,,20200329,69
Territories**,,,,,,,,,,,,,,,,,20200329,69
Guadeloupe,96,0,2,0,Imported cases only,1,,,,,,,,,,,20200329,69
Martinique,93,0,1,0,Imported cases only,1,,,,,,,,,,,20200329,69
Puerto Rico,64,0,2,0,Imported cases only,2,,,,,,,,,,,20200329,69
Aruba,46,18,0,0,Local transmission,0,,,,,,,,,,,20200329,69
French Guiana,31,0,0,0,Local transmission,1,,,,,,,,,,,20200329,69
Bermuda,17,2,0,0,Local transmission,0,,,,,,,,,,,20200329,69
"United States Virgin 
Islands",17,0,0,0,Imported cases only,5,,,,,,,,,,,20200329,69
Saint Martin,6,0,0,0,Under investigation,1,,,,,,,,,,,20200329,69
Cayman Islands,8,0,1,0,Imported cases only,3,,,,,,,,,,,20200329,69
Curaçao,7,0,1,0,Imported cases only,2,,,,,,,,,,,20200329,69
Montserrat,5,0,0,0,Imported cases only,1,,,,,,,,,,,20200329,69
Saint Barthélemy,5,0,0,0,Under investigation,1,,,,,,,,,,,20200329,69
Sint Maarten,3,0,0,0,Imported cases only,1,,,,,,,,,,,20200329,69
Anguilla,2,0,0,0,Local transmission,2,,,,,,,,,,,20200329,69
British Virgin Islands,2,0,0,0,Imported cases only,2,,,,,,,,,,,20200329,69
"Turks and Caicos 
Islands",2,0,0,0,Imported cases only,2,,,,,,,,,,,20200329,69
African Region,,,,,,,,,,,,,,,,,20200329,69
South Africa,1187,17,1,0,Local transmission,0,,,,,,,,,,,20200329,69
Algeria,409,42,26,1,Local transmission,0,,,,,,,,,,,20200329,69
Burkina Faso,146,0,3,0,Local transmission,3,,,,,,,,,,,20200329,69
Cote d’Ivoire,140,48,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Ghana,137,0,4,0,Local transmission,1,,,,,,,,,,,20200329,69
Senegal,119,0,0,0,Local transmission,1,,,,,,,,,,,20200329,69
Mauritius,102,6,2,0,Local transmission,0,,,,,,,,,,,20200329,69
Cameroon,91,16,2,1,Local transmission,0,,,,,,,,,,,20200329,69
"Democratic Republic of 
the Congo",68,10,6,2,Local transmission,0,,,,,,,,,,,20200329,69
Nigeria,65,0,1,0,Local transmission,2,,,,,,,,,,,20200329,69
Rwanda,60,6,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Togo,28,3,0,0,Imported cases only,0,,,,,,,,,,,20200329,69
Madagascar,26,0,0,0,Imported cases only,1,,,,,,,,,,,20200329,69
Kenya,25,0,1,0,Local transmission,4,,,,,,,,,,,20200329,69
Congo,19,0,0,0,Imported cases only,1,,,,,,,,,,,20200329,69
Mali,18,9,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Ethiopia,16,0,0,0,Imported cases only,1,,,,,,,,,,,20200329,69
Zambia,16,3,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Uganda,14,0,0,0,Imported cases only,3,,,,,,,,,,,20200329,69
"United Republic of 
Tanzania",14,1,0,0,Under investigation,0,,,,,,,,,,,20200329,69
Niger,10,0,1,0,Local transmission,2,,,,,,,,,,,20200329,69
Eswatini,9,0,0,0,Imported cases only,1,,,,,,,,,,,20200329,69
Guinea,8,0,0,0,Imported cases only,1,,,,,,,,,,,20200329,69
Mozambique,8,1,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Namibia,8,0,0,0,Imported cases only,2,,,,,,,,,,,20200329,69
Gabon,7,0,1,0,Imported cases only,1,,,,,,,,,,,20200329,69
Seychelles,7,0,0,0,Imported cases only,7,,,,,,,,,,,20200329,69
Benin,6,0,0,0,Imported cases only,2,,,,,,,,,,,20200329,69
"Central African 
Republic",6,0,0,0,Imported cases only,1,,,,,,,,,,,20200329,69
Equatorial Guinea,6,0,0,0,Imported cases only,7,,,,,,,,,,,20200329,69
Eritrea,6,0,0,0,Imported cases only,2,,,,,,,,,,,20200329,69
Cabo Verde,5,0,1,0,Imported cases only,1,,,,,,,,,,,20200329,69
Chad,5,0,0,0,Imported cases only,2,,,,,,,,,,,20200329,69
Mauritania,5,2,0,0,Imported cases only,0,,,,,,,,,,,20200329,69
Zimbabwe,5,0,1,0,Local transmission,1,,,,,,,,,,,20200329,69
Gambia,3,1,1,0,Imported cases only,0,,,,,,,,,,,20200329,69
Liberia,3,0,0,0,Local transmission,7,,,,,,,,,,,20200329,69
Angola,2,0,0,0,Imported cases only,7,,,,,,,,,,,20200329,69
Guinea-Bissau,2,0,0,0,Imported cases only,3,,,,,,,,,,,20200329,69
Territories**,,,,,,,,,,,,,,,,,20200329,69
Réunion,143,8,0,0,Local transmission,0,,,,,,,,,,,20200329,69
Mayotte,50,0,0,0,Local transmission,2,,,,,,,,,,,20200329,69
Subtotal for all regions,634101,63160,29884,3398,,,,,,,,,,,,,20200329,69
"International 
conveyance (Diamond 
Princess)",712,0,7,0,Local transmission,13,,,,,,,,,,,20200329,69
Grand total,634813,63160,29891,3398,,,,,,,,,,,,,20200329,69
,,,,,,,,,,,,,,,,,20200329,69
,,,,,,,,,,,,,,,,,20200329,69
,,,,,,,,,,,,,,,,,20200329,69
