0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,date,sitrep
"Reporting Country/ 
Territory/Area†",,"Total 
confirmed 
new cases","Total 
deaths","Total 
new 
deaths","Transmission 
classification§","Days since last 
reported case",,,,,,,,,,20200402,73
Haiti,16,1,0,0,Imported cases only,0,,,,,,,,,,20200402,73
Bahamas,15,1,0,0,Local transmission,0,,,,,,,,,,20200402,73
Saint Lucia,13,4,0,0,Local transmission,0,,,,,,,,,,20200402,73
Dominica,11,0,0,0,Local transmission,6,,,,,,,,,,20200402,73
Grenada,9,0,0,0,Local transmission,2,,,,,,,,,,20200402,73
Saint Kitts and Nevis,8,0,0,0,Imported cases only,1,,,,,,,,,,20200402,73
Suriname,8,0,0,0,Imported cases only,5,,,,,,,,,,20200402,73
Antigua and Barbuda,7,0,0,0,Imported cases only,5,,,,,,,,,,20200402,73
Nicaragua,5,1,1,0,Imported cases only,0,,,,,,,,,,20200402,73
Belize,3,0,0,0,Local transmission,2,,,,,,,,,,20200402,73
"Saint Vincent and the 
Grenadines",1,0,0,0,Imported cases only,20,,,,,,,,,,20200402,73
Territories**,,,,,,,,,,,,,,,,20200402,73
Puerto Rico,286,47,11,3,Local transmission,0,,,,,,,,,,20200402,73
Martinique,128,9,3,1,Local transmission,0,,,,,,,,,,20200402,73
Guadeloupe,125,11,6,1,Local transmission,0,,,,,,,,,,20200402,73
Aruba,55,0,0,0,Local transmission,1,,,,,,,,,,20200402,73
French Guiana,51,5,0,0,Local transmission,0,,,,,,,,,,20200402,73
"United States Virgin 
Islands",30,0,0,0,Local transmission,2,,,,,,,,,,20200402,73
Bermuda,32,5,0,0,Local transmission,0,,,,,,,,,,20200402,73
Sint Maarten,6,0,0,0,Imported cases only,2,,,,,,,,,,20200402,73
Cayman Islands,14,2,1,0,Local transmission,0,,,,,,,,,,20200402,73
Curaçao,11,0,1,0,Imported cases only,2,,,,,,,,,,20200402,73
Saint Barthélemy,6,0,0,0,Under investigation,2,,,,,,,,,,20200402,73
Saint Martin,21,3,2,0,Under investigation,0,,,,,,,,,,20200402,73
Montserrat,5,0,0,0,Imported cases only,5,,,,,,,,,,20200402,73
"Turks and Caicos 
Islands",5,0,0,0,Local transmission,2,,,,,,,,,,20200402,73
British Virgin Islands,3,0,0,0,Imported cases only,1,,,,,,,,,,20200402,73
Anguilla,2,0,0,0,Local transmission,6,,,,,,,,,,20200402,73
African Region,,,,,,,,,,,,,,,,20200402,73
South Africa,1380,27,5,0,Local transmission,0,,,,,,,,,,20200402,73
Algeria,847,263,58,23,Local transmission,0,,,,,,,,,,20200402,73
Burkina Faso,261,0,14,0,Local transmission,1,,,,,,,,,,20200402,73
Ghana,195,43,5,0,Local transmission,0,,,,,,,,,,20200402,73
Côte d’Ivoire,190,21,0,0,Local transmission,0,,,,,,,,,,20200402,73
Senegal,190,15,1,1,Local transmission,0,,,,,,,,,,20200402,73
Mauritius,154,11,5,0,Local transmission,0,,,,,,,,,,20200402,73
Cameroon,139,0,6,0,Local transmission,2,,,,,,,,,,20200402,73
Nigeria,139,28,2,1,Local transmission,0,,,,,,,,,,20200402,73
"Democratic Republic 
of the Congo",123,14,11,3,Local transmission,0,,,,,,,,,,20200402,73
Rwanda,82,7,0,0,Local transmission,0,,,,,,,,,,20200402,73
Kenya,81,31,1,0,Local transmission,0,,,,,,,,,,20200402,73
Niger,74,54,5,2,Local transmission,0,,,,,,,,,,20200402,73
Madagascar,53,0,0,0,Local transmission,1,,,,,,,,,,20200402,73
Uganda,44,11,0,0,Local transmission,0,,,,,,,,,,20200402,73
Togo,36,2,2,1,Local transmission,0,,,,,,,,,,20200402,73
Zambia,36,1,0,0,Local transmission,0,,,,,,,,,,20200402,73
Guinea,30,14,0,0,Local transmission,0,,,,,,,,,,20200402,73
Mali,28,10,0,0,Local transmission,0,,,,,,,,,,20200402,73
Ethiopia,26,0,0,0,Local transmission,1,,,,,,,,,,20200402,73
Congo,22,3,2,2,Local transmission,0,,,,,,,,,,20200402,73
"United Republic of 
Tanzania",20,1,1,0,Local transmission,0,,,,,,,,,,20200402,73
Eritrea,15,9,0,0,Imported cases only,0,,,,,,,,,,20200402,73
Equatorial Guinea,14,0,0,0,Local transmission,2,,,,,,,,,,20200402,73
Benin,13,4,0,0,Imported cases only,0,,,,,,,,,,20200402,73
Namibia,11,0,0,0,Imported cases only,3,,,,,,,,,,20200402,73
Mozambique,10,2,0,0,Local transmission,0,,,,,,,,,,20200402,73
Seychelles,10,2,0,0,Imported cases only,0,,,,,,,,,,20200402,73
Eswatini,9,0,0,0,Imported cases only,5,,,,,,,,,,20200402,73
Guinea-Bissau,9,0,0,0,Imported cases only,1,,,,,,,,,,20200402,73
Angola,8,1,2,0,Imported cases only,0,,,,,,,,,,20200402,73
"Central African 
Republic",8,2,0,0,Imported cases only,0,,,,,,,,,,20200402,73
