0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,date,sitrep
Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
South-East Asia Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
"Thailand 
35 (0) 
23 (0) 
0 (0) 
6 (0) 
6 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
"India 
3 (0) 
3 (0) 
0 (0) 
0 (0) 
0 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
"Nepal 
1 (0) 
1 (0) 
0 (0) 
0 (0) 
0 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
"Sri Lanka 
1 (0) 
1 (0) 
0 (0) 
0 (0) 
0 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Region of the Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
"United States of America 
35 (0) 
14 (0) 
18 (0) 
2 (0) 
1 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
"Canada 
9 (0) 
7 (0) 
1 (0) 
1 (0) 
0 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
European Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Italy,124 (48),3 (0),0 (0),10 (0),111 (48),2 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Germany,16 (0),2 (0),0 (0),14 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
France,12 (0),5 (0),0 (0),7 (0),0 (0),1 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
The United Kingdom,9 (0),2 (0),6 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Spain,2 (0),0 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Finland,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Israel,1 (0),0 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Eastern Mediterranean Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Iran (Islamic Republic of),43 (15),0 (0),0 (0),28 (0),15 (15),8 (3),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
United Arab Emirates,13 (0),6 (0),2 (0),5 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Kuwait,3 (3),0 (0),3 (3),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Egypt,1 (0),0 (0),0 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
Lebanon,1 (0),0 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
"S
ubtotal for all regions 
1374 (239) 
179 (0) 
52 (3) 
862 (139) 
281 (97) 
20 (5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
"International conveyance§ 
695 (61) 
0 (0) 
0 (0) 
0 (0) 
695 (61) 
3 (1) 
(Diamond Princess)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
"Grand total 
2069 (300) 
179 (0) 
52 (3) 
862 (139) 
976 (158) 
23 (6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200224,35
