0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,date,sitrep
"Reporting Country/ 
Territory/Area†",,"Total 
confirmed 
new cases","Total 
deaths","Total 
new 
deaths","Transmission 
classification§","Days since last 
Morocco,516,79,27,1,Local transmission,0,,,,,,,,,,,,20200330,70
Bahrain,515,39,4,0,Local transmission,0,,,,,,,,,,,,20200330,70
Lebanon,438,26,10,2,Local transmission,0,,,,,,,,,,,,20200330,70
Tunisia,312,34,8,0,Local transmission,0,,,,,,,,,,,,20200330,70
Jordan,259,13,3,2,Local transmission,0,,,,,,,,,,,,20200330,70
Kuwait,255,20,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Oman,167,0,0,0,Local transmission,1,,,,,,,,,,,,20200330,70
Afghanistan,114,0,4,0,Local transmission,1,,,,,,,,,,,,20200330,70
Djibouti,19,4,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Syrian Arab Republic,9,4,1,1,Imported cases only,0,,,,,,,,,,,,20200330,70
Libya,8,5,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Sudan,6,1,2,1,Imported cases only,0,,,,,,,,,,,,20200330,70
Somalia,3,0,0,0,Imported cases only,3,,,,,,,,,,,,20200330,70
Territories**,,,,,,,,,,,,,,,,,,20200330,70
"occupied Palestinian 
territory 
115 
11 
1 
0 
Local transmission 
0",,,,,,,,,,,,,,,,,,20200330,70
Region of the Americas,,,,,,,,,,,,,,,,,,20200330,70
"United States of 
America",122653,19332,2112,444,Local transmission,0,,,,,,,,,,,,20200330,70
Canada,5655,898,61,6,Local transmission,0,,,,,,,,,,,,20200330,70
Brazil,3904,487,114,22,Local transmission,0,,,,,,,,,,,,20200330,70
Chile,1909,0,6,0,Local transmission,1,,,,,,,,,,,,20200330,70
Ecuador,1835,12,48,0,Local transmission,0,,,,,,,,,,,,20200330,70
Panama,901,115,17,3,Local transmission,0,,,,,,,,,,,,20200330,70
Mexico,848,131,16,4,Local transmission,0,,,,,,,,,,,,20200330,70
Argentina,745,55,19,2,Local transmission,0,,,,,,,,,,,,20200330,70
Peru,671,36,11,0,Local transmission,0,,,,,,,,,,,,20200330,70
Colombia,608,69,6,0,Local transmission,0,,,,,,,,,,,,20200330,70
Dominican Republic,581,0,20,0,Local transmission,2,,,,,,,,,,,,20200330,70
Uruguay,303,29,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Costa Rica,295,32,2,0,Local transmission,0,,,,,,,,,,,,20200330,70
Cuba,119,0,3,0,Local transmission,1,,,,,,,,,,,,20200330,70
"Venezuela (Bolivarian 
Republic of)",113,0,2,0,Local transmission,1,,,,,,,,,,,,20200330,70
Honduras,110,43,2,1,Local transmission,0,,,,,,,,,,,,20200330,70
Trinidad and Tobago,76,2,3,1,Local transmission,0,,,,,,,,,,,,20200330,70
"Bolivia (Plurinational 
State of)",74,0,0,0,Local transmission,1,,,,,,,,,,,,20200330,70
Paraguay,59,3,3,0,Local transmission,0,,,,,,,,,,,,20200330,70
Guatemala,34,2,1,0,Local transmission,0,,,,,,,,,,,,20200330,70
Jamaica,32,2,1,0,Local transmission,0,,,,,,,,,,,,20200330,70
Barbados,26,2,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
El Salvador,24,5,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Haiti,15,7,0,0,Imported cases only,0,,,,,,,,,,,,20200330,70
Dominica,11,0,0,0,Local transmission,3,,,,,,,,,,,,20200330,70
Bahamas,10,0,0,0,Local transmission,1,,,,,,,,,,,,20200330,70
Suriname,8,0,0,0,Imported cases only,2,,,,,,,,,,,,20200330,70
Antigua and Barbuda,7,0,0,0,Imported cases only,2,,,,,,,,,,,,20200330,70
Grenada,7,0,0,0,Local transmission,3,,,,,,,,,,,,20200330,70
Guyana,5,0,1,0,Local transmission,11,,,,,,,,,,,,20200330,70
Nicaragua,4,0,1,0,Imported cases only,1,,,,,,,,,,,,20200330,70
Saint Kitts and Nevis,4,2,0,0,Imported cases only,0,,,,,,,,,,,,20200330,70
Saint Lucia,4,1,0,0,Imported cases only,0,,,,,,,,,,,,20200330,70
Belize,2,0,0,0,Local transmission,4,,,,,,,,,,,,20200330,70
"Saint Vincent and the 
Grenadines",1,0,0,0,Imported cases only,17,,,,,,,,,,,,20200330,70
Territories**,,,,,,,,,,,,,,,,,,20200330,70
Martinique,105,12,2,1,Imported cases only,0,,,,,,,,,,,,20200330,70
Guadeloupe,96,0,2,0,Imported cases only,2,,,,,,,,,,,,20200330,70
Puerto Rico,64,0,2,0,Imported cases only,3,,,,,,,,,,,,20200330,70
Aruba,46,0,0,0,Local transmission,1,,,,,,,,,,,,20200330,70
French Guiana,31,0,0,0,Local transmission,2,,,,,,,,,,,,20200330,70
Bermuda,22,5,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
"United States Virgin 
Islands",22,5,0,0,Imported cases only,0,,,,,,,,,,,,20200330,70
Cayman Islands,8,0,1,0,Imported cases only,4,,,,,,,,,,,,20200330,70
Curaçao,7,0,1,0,Imported cases only,3,,,,,,,,,,,,20200330,70
Saint Martin,6,0,0,0,Under investigation,0,,,,,,,,,,,,20200330,70
Montserrat,5,0,0,0,Imported cases only,2,,,,,,,,,,,,20200330,70
Saint Barthélemy,5,0,0,0,Under investigation,2,,,,,,,,,,,,20200330,70
"Turks and Caicos 
Islands",4,2,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Sint Maarten,3,0,0,0,Imported cases only,2,,,,,,,,,,,,20200330,70
Anguilla,2,0,0,0,Local transmission,3,,,,,,,,,,,,20200330,70
British Virgin Islands,2,0,0,0,Imported cases only,3,,,,,,,,,,,,20200330,70
African Region,,,,,,,,,,,,,,,,,,20200330,70
South Africa,1280,93,1,0,Local transmission,0,,,,,,,,,,,,20200330,70
Algeria,454,45,29,3,Local transmission,0,,,,,,,,,,,,20200330,70
Burkina Faso,222,76,3,0,Local transmission,0,,,,,,,,,,,,20200330,70
Cote d’Ivoire,165,25,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Ghana,152,15,5,1,Local transmission,0,,,,,,,,,,,,20200330,70
Senegal,142,23,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Cameroon,113,22,2,0,Local transmission,0,,,,,,,,,,,,20200330,70
Mauritius,102,0,2,0,Local transmission,1,,,,,,,,,,,,20200330,70
"Democratic Republic 
of the Congo",81,13,8,2,Local transmission,0,,,,,,,,,,,,20200330,70
Rwanda,70,10,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Nigeria,65,0,1,0,Local transmission,3,,,,,,,,,,,,20200330,70
Madagascar,37,11,0,0,Imported cases only,0,,,,,,,,,,,,20200330,70
Uganda,33,19,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Togo,28,0,1,1,Local transmission,0,,,,,,,,,,,,20200330,70
Kenya,25,0,1,0,Local transmission,5,,,,,,,,,,,,20200330,70
Ethiopia,21,5,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Niger,20,10,3,2,Local transmission,0,,,,,,,,,,,,20200330,70
Congo,19,0,0,0,Imported cases only,2,,,,,,,,,,,,20200330,70
Mali,18,0,0,0,Local transmission,1,,,,,,,,,,,,20200330,70
Guinea,16,8,0,0,Imported cases only,0,,,,,,,,,,,,20200330,70
Zambia,16,0,0,0,Local transmission,1,,,,,,,,,,,,20200330,70
United Republic of,14,0,0,0,Under investigation,1,,,,,,,,,,,,20200330,70
Tanzania,,,,,,,,,,,,,,,,,,20200330,70
Equatorial Guinea,13,7,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Namibia,11,3,0,0,Imported cases only,0,,,,,,,,,,,,20200330,70
Eswatini,9,0,0,0,Imported cases only,2,,,,,,,,,,,,20200330,70
Mozambique,8,0,0,0,Local transmission,1,,,,,,,,,,,,20200330,70
Seychelles,8,1,0,0,Imported cases only,0,,,,,,,,,,,,20200330,70
Gabon,7,0,1,0,Imported cases only,2,,,,,,,,,,,,20200330,70
Benin,6,0,0,0,Imported cases only,3,,,,,,,,,,,,20200330,70
"Central African 
Republic",6,0,0,0,Imported cases only,2,,,,,,,,,,,,20200330,70
Eritrea,6,0,0,0,Imported cases only,3,,,,,,,,,,,,20200330,70
Cabo Verde,5,0,1,0,Imported cases only,2,,,,,,,,,,,,20200330,70
Chad,5,0,0,0,Imported cases only,3,,,,,,,,,,,,20200330,70
Mauritania,5,0,0,0,Imported cases only,1,,,,,,,,,,,,20200330,70
Zimbabwe,5,0,1,0,Local transmission,2,,,,,,,,,,,,20200330,70
Gambia,3,0,1,0,Imported cases only,1,,,,,,,,,,,,20200330,70
Liberia,3,0,0,0,Local transmission,8,,,,,,,,,,,,20200330,70
Angola,2,0,0,0,Imported cases only,8,,,,,,,,,,,,20200330,70
Guinea-Bissau,2,0,0,0,Imported cases only,4,,,,,,,,,,,,20200330,70
Territories**,,,,,,,,,,,,,,,,,,20200330,70
Réunion,207,64,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
Mayotte,82,32,0,0,Local transmission,0,,,,,,,,,,,,20200330,70
"Subtotal for all 
regions",692570,58469,33099,3215,,,,,,,,,,,,,,20200330,70
"International 
conveyance (Diamond 
Princess)",712,0,7,0,Local transmission,14,,,,,,,,,,,,20200330,70
Grand total,693282,58469,33106,3215,,,,,,,,,,,,,,20200330,70
,,,,,,,,,,,,,,,,,,20200330,70
,,,,,,,,,,,,,,,,,,20200330,70
,,,,,,,,,,,,,,,,,,20200330,70
