0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,date,sitrep
,Finland,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200216,27
,Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200216,27
"Eastern Mediterranean 
Region",United Arab Emirates,8 (0),6 (0),1 (0),1 (0),0 (0),,,,,,,,,,,,,,20200216,27
,Egypt,1 (0),0 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,20200216,27
Other,"International 
conveyance‡‡ (Japan)",355 (137),0 (0),0 (0),355 (137),0 (0),,,,,,,,,,,,,,20200216,27
,,,,,,,,,,,,,,,,,,,,20200216,27
,,,,,,,,,,,,,,,,,,,,20200216,27
,,,,,,,,,,,,,,,,,,,,20200216,27
,,,,,,,,,,,,,,,,,,,,20200216,27
,,,,,,,,,,,,,,,,,,,,20200216,27
,,,,,,,,,,,,,,,,,,,,20200216,27
,,,,,,,,,,,,,,,,,,,,20200216,27
,,,,,,,,,,,,,,,,,,,,20200216,27
