0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,date,sitrep
Republic of Moldova,752,161,12,3,Local transmission,0,,,,,,,,,,,,20200405,76
Armenia,746,10,7,0,Local transmission,0,,,,,,,,,,,,20200405,76
Hungary,733,55,34,2,Local transmission,0,,,,,,,,,,,,20200405,76
"Bosnia and 
Herzegovina",632,46,21,3,Local transmission,0,,,,,,,,,,,,20200405,76
Kazakhstan,531,71,5,2,Local transmission,0,,,,,,,,,,,,20200405,76
Azerbaijan,512,69,5,0,Local transmission,0,,,,,,,,,,,,20200405,76
Latvia,509,16,1,0,Local transmission,0,,,,,,,,,,,,20200405,76
Bulgaria,503,18,17,3,Local transmission,0,,,,,,,,,,,,20200405,76
North Macedonia,483,53,17,5,Local transmission,0,,,,,,,,,,,,20200405,76
Slovakia,471,21,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Andorra,466,24,17,1,Local transmission,0,,,,,,,,,,,,20200405,76
Belarus,440,186,4,0,Local transmission,0,,,,,,,,,,,,20200405,76
Cyprus,426,30,11,0,Local transmission,0,,,,,,,,,,,,20200405,76
Albania,333,0,18,1,Local transmission,1,,,,,,,,,,,,20200405,76
Uzbekistan,298,57,2,0,Local transmission,0,,,,,,,,,,,,20200405,76
San Marino,259,7,32,0,Local transmission,0,,,,,,,,,,,,20200405,76
Malta,213,11,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Montenegro,197,37,2,0,Local transmission,0,,,,,,,,,,,,20200405,76
Georgia,170,13,1,1,Local transmission,0,,,,,,,,,,,,20200405,76
Kyrgyzstan,147,3,1,0,Local transmission,0,,,,,,,,,,,,20200405,76
Liechtenstein,77,1,1,1,Under investigation,0,,,,,,,,,,,,20200405,76
Monaco,37,0,0,0,Local transmission,4,,,,,,,,,,,,20200405,76
Holy See,7,0,0,0,Under investigation,2,,,,,,,,,,,,20200405,76
Territories**,,,,,,,,,,,,,,,,,,20200405,76
Faroe Islands,181,2,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Kosovo[1],140,8,1,0,Local transmission,0,,,,,,,,,,,,20200405,76
Guernsey,136,22,2,0,Local transmission,0,,,,,,,,,,,,20200405,76
Isle of Man,126,12,1,0,Local transmission,0,,,,,,,,,,,,20200405,76
Jersey,123,5,3,1,Local transmission,0,,,,,,,,,,,,20200405,76
Gibraltar,98,3,1,0,Local transmission,0,,,,,,,,,,,,20200405,76
Greenland,10,0,0,0,Under investigation,7,,,,,,,,,,,,20200405,76
South-East Asia Region,,,,,,,,,,,,,,,,,,20200405,76
"India 
3374 
1073 
77 
21 
Local transmission 
0",,,,,,,,,,,,,,,,,,20200405,76
"Indonesia 
2092 
106 
191 
10 
Local transmission 
0",,,,,,,,,,,,,,,,,,20200405,76
Thailand,2067,89,20,1,Local transmission,0,,,,,,,,,,,,20200405,76
Sri Lanka,159,8,5,1,Local transmission,0,,,,,,,,,,,,20200405,76
Bangladesh,70,9,8,2,Local transmission,0,,,,,,,,,,,,20200405,76
Myanmar,20,0,1,0,Local transmission,1,,,,,,,,,,,,20200405,76
Maldives,19,0,0,0,Local transmission,2,,,,,,,,,,,,20200405,76
Nepal,9,3,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Bhutan,5,0,0,0,Imported cases only,2,,,,,,,,,,,,20200405,76
Timor-Leste,1,0,0,0,Imported cases only,15,,,,,,,,,,,,20200405,76
Eastern Mediterranean Region,,,,,,,,,,,,,,,,,,20200405,76
"Iran (Islamic Republic 
of)",55743,2560,3452,158,Local transmission,0,,,,,,,,,,,,20200405,76
Pakistan,2880,430,45,10,Local transmission,0,,,,,,,,,,,,20200405,76
Saudi Arabia,2370,331,29,4,Local transmission,0,,,,,,,,,,,,20200405,76
United Arab Emirates,1505,241,10,1,Local transmission,0,,,,,,,,,,,,20200405,76
Qatar,1325,250,3,0,Local transmission,0,,,,,,,,,,,,20200405,76
Egypt,1070,85,71,5,Local transmission,0,,,,,,,,,,,,20200405,76
Morocco,960,116,66,16,Local transmission,0,,,,,,,,,,,,20200405,76
Iraq,878,58,56,2,Local transmission,0,,,,,,,,,,,,20200405,76
Bahrain,688,15,4,0,Local transmission,0,,,,,,,,,,,,20200405,76
Kuwait,556,77,1,0,Local transmission,0,,,,,,,,,,,,20200405,76
Tunisia,553,58,19,1,Local transmission,0,,,,,,,,,,,,20200405,76
Lebanon,527,19,18,1,Local transmission,0,,,,,,,,,,,,20200405,76
Jordan,323,13,5,0,Local transmission,0,,,,,,,,,,,,20200405,76
Afghanistan,299,29,7,2,Local transmission,0,,,,,,,,,,,,20200405,76
Oman,298,21,2,1,Local transmission,0,,,,,,,,,,,,20200405,76
Djibouti,51,1,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Libya,17,0,1,0,Local transmission,1,,,,,,,,,,,,20200405,76
Syrian Arab Republic,16,0,2,0,Local transmission,2,,,,,,,,,,,,20200405,76
Sudan,10,0,2,0,Local transmission,1,,,,,,,,,,,,20200405,76
Somalia,7,0,0,0,Local transmission,1,,,,,,,,,,,,20200405,76
Territories**,,,,,,,,,,,,,,,,,,20200405,76
"occupied Palestinian 
217 
24 
1 
0 
Local transmission 
0 
territory",,,,,,,,,,,,,,,,,,20200405,76
Region of the Americas,,,,,,,,,,,,,,,,,,20200405,76
"United States of 
America",273808,32105,7020,1166,Local transmission,0,,,,,,,,,,,,20200405,76
Canada,12938,1206,214,62,Local transmission,0,,,,,,,,,,,,20200405,76
Brazil,9056,1146,359,60,Local transmission,0,,,,,,,,,,,,20200405,76
Chile,4161,424,27,5,Local transmission,0,,,,,,,,,,,,20200405,76
Ecuador,3465,302,172,52,Local transmission,0,,,,,,,,,,,,20200405,76
Mexico,1688,178,60,10,Local transmission,0,,,,,,,,,,,,20200405,76
Panama,1673,198,41,4,Local transmission,0,,,,,,,,,,,,20200405,76
Peru,1595,181,61,10,Local transmission,0,,,,,,,,,,,,20200405,76
Dominican Republic,1488,0,68,0,Local transmission,1,,,,,,,,,,,,20200405,76
Argentina,1353,88,42,5,Local transmission,0,,,,,,,,,,,,20200405,76
Colombia,1267,106,25,6,Local transmission,0,,,,,,,,,,,,20200405,76
Costa Rica,416,20,2,0,Local transmission,0,,,,,,,,,,,,20200405,76
Uruguay,386,17,4,0,Local transmission,0,,,,,,,,,,,,20200405,76
Cuba,288,19,6,0,Local transmission,0,,,,,,,,,,,,20200405,76
Honduras,264,42,15,0,Local transmission,0,,,,,,,,,,,,20200405,76
"Venezuela (Bolivarian 
Republic of)",144,0,3,0,Local transmission,2,,,,,,,,,,,,20200405,76
"Bolivia (Plurinational 
State of)",139,7,10,1,Local transmission,0,,,,,,,,,,,,20200405,76
Trinidad and Tobago,100,3,6,0,Local transmission,0,,,,,,,,,,,,20200405,76
Paraguay,96,4,3,0,Local transmission,0,,,,,,,,,,,,20200405,76
El Salvador,56,10,3,1,Local transmission,0,,,,,,,,,,,,20200405,76
Jamaica,53,6,3,0,Local transmission,0,,,,,,,,,,,,20200405,76
Barbados,51,6,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Guatemala,50,0,1,0,Local transmission,1,,,,,,,,,,,,20200405,76
Bahamas,24,0,3,0,Local transmission,1,,,,,,,,,,,,20200405,76
Guyana,23,4,4,0,Local transmission,0,,,,,,,,,,,,20200405,76
Haiti,18,0,0,0,Imported cases only,1,,,,,,,,,,,,20200405,76
Saint Lucia,13,0,0,0,Local transmission,3,,,,,,,,,,,,20200405,76
Grenada,12,2,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Dominica,11,0,0,0,Local transmission,9,,,,,,,,,,,,20200405,76
Suriname,10,0,0,0,Local transmission,1,,,,,,,,,,,,20200405,76
Saint Kitts and Nevis,9,1,0,0,Imported cases only,0,,,,,,,,,,,,20200405,76
Antigua and Barbuda,7,0,0,0,Imported cases only,8,,,,,,,,,,,,20200405,76
Nicaragua,5,0,1,0,Imported cases only,3,,,,,,,,,,,,20200405,76
Belize,4,1,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
"Saint Vincent and the 
Grenadines",3,0,0,0,Imported cases only,1,,,,,,,,,,,,20200405,76
Territories**,,,,,,,,,,,,,,,,,,20200405,76
Puerto Rico,452,74,18,3,Local transmission,0,,,,,,,,,,,,20200405,76
Martinique,145,7,3,0,Local transmission,0,,,,,,,,,,,,20200405,76
Guadeloupe,130,0,7,0,Local transmission,1,,,,,,,,,,,,20200405,76
Aruba,64,2,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
French Guiana,62,5,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
"United States Virgin 
Islands",40,3,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Bermuda,35,0,0,0,Local transmission,1,,,,,,,,,,,,20200405,76
Cayman Islands,28,0,1,0,Local transmission,1,,,,,,,,,,,,20200405,76
Saint Martin,24,2,2,0,Under investigation,0,,,,,,,,,,,,20200405,76
Sint Maarten,23,0,2,0,Imported cases only,1,,,,,,,,,,,,20200405,76
Curaçao,11,0,1,0,Imported cases only,5,,,,,,,,,,,,20200405,76
Montserrat,6,1,0,0,Imported cases only,0,,,,,,,,,,,,20200405,76
Saint Barthélemy,6,0,0,0,Under investigation,5,,,,,,,,,,,,20200405,76
"Turks and Caicos 
Islands",5,0,0,0,Local transmission,5,,,,,,,,,,,,20200405,76
Anguilla,3,0,0,0,Local transmission,1,,,,,,,,,,,,20200405,76
British Virgin Islands,3,0,0,0,Imported cases only,4,,,,,,,,,,,,20200405,76
"Bonaire, Sint Eustatius 
and Saba",2,0,0,0,Imported cases only,1,,,,,,,,,,,,20200405,76
"Falkland Islands 
(Malvinas)",1,1,0,0,Under investigation,0,,,,,,,,,,,,20200405,76
African Region,,,,,,,,,,,,,,,,,,20200405,76
"South Africa 
1585 
80 
9 
2 
Local transmission 
0",,,,,,,,,,,,,,,,,,20200405,76
"Algeria 
1251 
265 
130 
47 
Local transmission 
0",,,,,,,,,,,,,,,,,,20200405,76
"Cameroon 
555 
309 
9 
2 
Local transmission 
0",,,,,,,,,,,,,,,,,,20200405,76
Burkina Faso,302,41,15,0,Local transmission,0,,,,,,,,,,,,20200405,76
Côte d’Ivoire,245,42,2,1,Local transmission,0,,,,,,,,,,,,20200405,76
Senegal,219,12,2,1,Local transmission,0,,,,,,,,,,,,20200405,76
Nigeria,210,20,4,2,Local transmission,0,,,,,,,,,,,,20200405,76
Ghana,205,1,5,0,Local transmission,0,,,,,,,,,,,,20200405,76
Mauritius,196,10,7,0,Local transmission,0,,,,,,,,,,,,20200405,76
"Democratic Republic 
of the Congo",148,14,16,3,Local transmission,0,,,,,,,,,,,,20200405,76
Niger,144,46,8,3,Local transmission,0,,,,,,,,,,,,20200405,76
Kenya,122,0,4,0,Local transmission,1,,,,,,,,,,,,20200405,76
Guinea,111,59,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Rwanda,102,13,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Madagascar,70,5,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Uganda,48,3,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Congo,45,4,5,2,Local transmission,0,,,,,,,,,,,,20200405,76
Togo,40,1,3,1,Local transmission,0,,,,,,,,,,,,20200405,76
Mali,39,3,4,1,Local transmission,0,,,,,,,,,,,,20200405,76
Zambia,39,0,1,0,Local transmission,2,,,,,,,,,,,,20200405,76
Ethiopia,38,3,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Gabon,21,0,1,0,Imported cases only,1,,,,,,,,,,,,20200405,76
Eritrea,20,0,0,0,Local transmission,2,,,,,,,,,,,,20200405,76
"United Republic of 
Tanzania",20,0,1,0,Local transmission,3,,,,,,,,,,,,20200405,76
Guinea-Bissau,18,3,0,0,Imported cases only,0,,,,,,,,,,,,20200405,76
Equatorial Guinea,16,1,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Namibia,14,1,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Benin,13,0,0,0,Imported cases only,3,,,,,,,,,,,,20200405,76
Angola,10,0,2,0,Imported cases only,1,,,,,,,,,,,,20200405,76
Liberia,10,3,1,1,Local transmission,0,,,,,,,,,,,,20200405,76
Mozambique,10,0,0,0,Local transmission,3,,,,,,,,,,,,20200405,76
Seychelles,10,0,0,0,Imported cases only,3,,,,,,,,,,,,20200405,76
"Central African 
Republic",9,1,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Eswatini,9,0,0,0,Imported cases only,8,,,,,,,,,,,,20200405,76
Zimbabwe,9,0,1,0,Local transmission,1,,,,,,,,,,,,20200405,76
Chad,7,0,0,0,Imported cases only,4,,,,,,,,,,,,20200405,76
Mauritania,6,0,1,0,Imported cases only,1,,,,,,,,,,,,20200405,76
Cabo Verde,5,0,1,0,Imported cases only,8,,,,,,,,,,,,20200405,76
Botswana,4,0,1,0,Imported cases only,2,,,,,,,,,,,,20200405,76
Gambia,4,0,1,0,Imported cases only,2,,,,,,,,,,,,20200405,76
Sierra Leone,4,2,0,0,Imported cases only,0,,,,,,,,,,,,20200405,76
Burundi,3,0,0,0,Local transmission,1,,,,,,,,,,,,20200405,76
Malawi,3,0,0,0,Local transmission,2,,,,,,,,,,,,20200405,76
Territories**,,,,,,,,,,,,,,,,,,20200405,76
Réunion,334,13,0,0,Local transmission,0,,,,,,,,,,,,20200405,76
Mayotte,147,19,2,0,Local transmission,0,,,,,,,,,,,,20200405,76
"Subtotal for all 
regions",1 133046,82 061,62 773,5798,,,,,,,,,,,,,,20200405,76
"International 
conveyance (Diamond",712,0,11,0,Local transmission,20,,,,,,,,,,,,20200405,76
,,,,,,,,,,,,,,,,,,20200405,76
,,,,,,,,,,,,,,,,,,20200405,76
,,,,,,,,,,,,,,,,,,20200405,76
