0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,date,sitrep
Austria,2 (0),0 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Finland,2 (1),1 (0),1 (1),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Israel,2 (0),0 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Sweden,2 (1),1 (0),1 (1),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Denmark,1 (1),0 (0),1 (1),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Estonia,1 (1),0 (0),0 (0),0 (0),1 (1),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Georgia,1 (1),0 (0),1 (1),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Greece,1 (1),0 (0),1 (1),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
North Macedonia,1 (1),0 (0),1 (1),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Norway,1 (1),1 (1),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Romania,1 (1),0 (0),1 (1),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Switzerland,1 (0),0 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Eastern Mediterranean Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Iran (Islamic Republic of),141 (46),0 (0),0 (0),28 (0),113 (46),22 (7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Kuwait,43 (31),0 (0),43 (31),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Bahrain,33 (7),0 (0),33 (7),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
United Arab Emirates,13 (0),6 (0),2 (0),5 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Iraq,6 (1),0 (0),6 (1),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Oman,4 (0),0 (0),4 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Lebanon,2 (1),0 (0),1 (0),0 (0),1 (1),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Pakistan,2 (2),0 (0),2 (2),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Afghanistan,1 (0),0 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Egypt,1 (0),0 (0),0 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
African Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
"Algeria 
1 (0) 
0 (0) 
1 (0) 
0 (0) 
0 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Subtotal for all regions,2959 (732),181 (2),200 (71),1005 (16),1573 (643),53 (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
"International 
conveyance‡ (Diamond 
Princess)",705 (14),0 (0),0 (0),0 (0),0 (0),4 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
Grand total§,3664 (746),181 (2),200 (71),1005 (16),1573 (643),57 (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200227,38
