0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,sitrep
The United Kingdom,9 (0),2 (0),6 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
Spain,2 (0),0 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
Finland,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
Israel,1 (1),0 (0),1 (1),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
Eastern Mediterranean Region,,,,,,,,,,,,,,,,,,,,,,,20200222,33
Iran (Islamic Republic of),18 (13),0 (0),0 (0),18 (13),0 (0),4 (2),,,,,,,,,,,,,,,,,20200222,33
United Arab Emirates,11 (2),6 (0),0 (0),5 (2),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
Egypt,1 (0),0 (0),0 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
Lebanon,1 (1),0 (0),1 (1),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,20200222,33
,,,,,,,,,,,,,,,,,,,,,,,20200222,33
Subtotal for all regions,768 (202),177 (2),44 (24),484 (163),63 (13),9 (0),,,,,,,,,,,,,,,,,20200222,33
"International 
conveyance‡ (Diamond 
Princess)",634 (0),0 (0),0 (0),0 (0),634 (0),2 (0),,,,,,,,,,,,,,,,,20200222,33
Grand total,1402 (202),177 (2),44 (24),484 (163),697 (13),11 (3),,,,,,,,,,,,,,,,,20200222,33
,,,,,,,,,,,,,,,,,,,,,,,20200222,33
,,,,,,,,,,,,,,,,,,,,,,,20200222,33
,,,,,,,,,,,,,,,,,,,,,,,20200222,33
,,,,,,,,,,,,,,,,,,,,,,,20200222,33
,,,,,,,,,,,,,,,,,,,,,,,20200222,33
,,,,,,,,,,,,,,,,,,,,,,,20200222,33
