0,1,2,3,4,5,6,7,8,9,10,date,sitrep
Slovakia,3,2,0,0,Local transmission,0,,,,,20200308,48
"Bosnia and 
Herzegovina",2,0,0,0,Local transmission,3,,,,,20200308,48
Bulgaria,2,2,0,0,Local transmission,0,,,,,20200308,48
Luxembourg,2,0,0,0,Imported cases only,1,,,,,20200308,48
Andorra,1,0,0,0,Imported cases only,5,,,,,20200308,48
Armenia,1,0,0,0,Imported cases only,6,,,,,20200308,48
Holy See,1,0,0,0,Under investigation,2,,,,,20200308,48
Latvia,1,0,0,0,Imported cases only,5,,,,,20200308,48
Liechtenstein,1,0,0,0,Imported cases only,2,,,,,20200308,48
Lithuania,1,0,0,0,Imported cases only,9,,,,,20200308,48
Monaco,1,0,0,0,Under investigation,7,,,,,20200308,48
Republic of Moldova,1,1,0,0,Imported cases only,0,,,,,20200308,48
Serbia,1,0,0,0,Under investigation,2,,,,,20200308,48
Ukraine,1,0,0,0,Imported cases only,4,,,,,20200308,48
Territories**,,,,,,,,,,,20200308,48
"Faroe Islands 
1 
0 
0 
0 
Imported cases only 
2",,,,,,,,,,,20200308,48
"Gibraltar 
1 
0 
0 
0 
Under investigation 
4",,,,,,,,,,,20200308,48
South-East Asia Region,,,,,,,,,,,20200308,48
Thailand,50,2,1,0,Local transmission,0,,,,,20200308,48
India,34,3,0,0,Local transmission,0,,,,,20200308,48
Indonesia,4,0,0,0,Local transmission,1,,,,,20200308,48
Maldives,2,2,0,0,Local transmission,0,,,,,20200308,48
Bhutan,1,0,0,0,Imported cases only,2,,,,,20200308,48
Nepal,1,0,0,0,Imported cases only,44,,,,,20200308,48
Sri Lanka,1,0,0,0,Imported cases only,41,,,,,20200308,48
Eastern Mediterranean Region,,,,,,,,,,,20200308,48
"Iran (Islamic 
Republic of)",5823,1076,145,21,Local transmission,0,,,,,20200308,48
Kuwait,62,4,0,0,Imported cases only,0,,,,,20200308,48
Bahrain,56,7,0,0,Imported cases only,0,,,,,20200308,48
Iraq,54,10,4,0,Imported cases only,0,,,,,20200308,48
Egypt,48,45,0,0,Local transmission††,0,,,,,20200308,48
"United Arab 
Emirates",45,0,0,0,Local transmission,1,,,,,20200308,48
Lebanon,28,6,0,0,Local transmission,0,,,,,20200308,48
Oman,16,0,0,0,Imported cases only,2,,,,,20200308,48
Qatar,12,1,0,0,Imported cases only,0,,,,,20200308,48
Saudi Arabia,7,2,0,0,Imported cases only,0,,,,,20200308,48
Pakistan,5,0,0,0,Imported cases only,5,,,,,20200308,48
Afghanistan,4,3,0,0,Imported cases only,0,,,,,20200308,48
Morocco,2,0,0,0,Imported cases only,3,,,,,20200308,48
Jordan,1,0,0,0,Imported cases only,5,,,,,20200308,48
Tunisia,1,0,0,0,Imported cases only,5,,,,,20200308,48
Territories**,,,,,,,,,,,20200308,48
"Occupied 
16 
0 
0 
0 
Local transmission 
1 
Palestinian Territory",,,,,,,,,,,20200308,48
Region of the Americas,,,,,,,,,,,20200308,48
"United States of 
America",213,0,11,0,Local transmission,1,,,,,20200308,48
Canada,57,6,0,0,Local transmission,0,,,,,20200308,48
Brazil,19,6,0,0,Local transmission,0,,,,,20200308,48
Ecuador,14,0,0,0,Local transmission,1,,,,,20200308,48
Argentina,9,7,1,1,Imported cases only,0,,,,,20200308,48
Mexico,7,2,0,0,Imported cases only,0,,,,,20200308,48
Peru,6,0,0,0,Local transmission,1,,,,,20200308,48
Chile,5,0,0,0,Imported cases only,1,,,,,20200308,48
Costa Rica,5,5,0,0,Imported cases only,0,,,,,20200308,48
"Colombia 
1 
0 
0 
0 
Imported cases only 
1",,,,,,,,,,,20200308,48
"Dominican Republic 
1 
0 
0 
0 
Imported cases only 
6",,,,,,,,,,,20200308,48
Territories**,,,,,,,,,,,20200308,48
French Guiana,5,5,0,0,Imported cases only,0,,,,,20200308,48
Martinique,2,2,0,0,Imported cases only,0,,,,,20200308,48
Saint Martin,2,0,0,0,Under investigation,5,,,,,20200308,48
Saint Barthélemy,1,0,0,0,Under investigation,5,,,,,20200308,48
African Region,,,,,,,,,,,20200308,48
Algeria,17,0,0,0,Local transmission,1,,,,,20200308,48
Senegal,4,0,0,0,Imported cases only,3,,,,,20200308,48
Cameroon,2,0,0,0,Local transmission,1,,,,,20200308,48
South Africa,2,1,0,0,Imported cases only,0,,,,,20200308,48
Nigeria,1,0,0,0,Imported cases only,9,,,,,20200308,48
Togo,1,0,0,0,Imported cases only,1,,,,,20200308,48
"Subtotal for all 
regions",24031,3610,477,70,,,,,,,20200308,48
"International 
conveyance 
(Diamond Princess)",696,0,7,1,Local transmission,0,,,,,20200308,48
Grand total,24727,3610,484,71,,,,,,,20200308,48
,,,,,,,,,,,20200308,48
,,,,,,,,,,,20200308,48
,,,,,,,,,,,20200308,48
