0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,date,sitrep
Thailand,35 (0),23 (0),0 (0),5 (0),7 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
India,3 (0),3 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
Region of the Americas,,,,,,,,,,,,,,,,,,,,,,20200220,31
"United States of 
15 (0) 
13 (0) 
0 (0) 
2 (0) 
0 (0) 
0 (0) 
America",,,,,,,,,,,,,,,,,,,,,,20200220,31
"Canada 
8 (0) 
7 (0) 
0 (0) 
0 (0) 
1 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,20200220,31
European Region,,,,,,,,,,,,,,,,,,,,,,20200220,31
Germany,16 (0),2 (0),0 (0),14 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
France,12 (0),5 (0),0 (0),7 (0),0 (0),1 (0),,,,,,,,,,,,,,,,20200220,31
"The United 
Kingdom",9 (0),2 (0),6 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
Italy,3 (0),3 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
Spain,2 (0),0 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
Finland,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
Eastern Mediterranean Region,,,,,,,,,,,,,,,,,,,,,,20200220,31
"United Arab 
Emirates",9 (0),6 (0),0 (0),2 (0),1 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
"Iran (Islamic 
Republic of)",2 (2),0 (0),0 (0),0 (0),2 (2),2 (2),,,,,,,,,,,,,,,,20200220,31
Egypt,1 (0),0 (0),0 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200220,31
Other,,,,,,,,,,,,,,,,,,,,,,20200220,31
"International 
conveyance‡ 
621 (79) 
0 (0) 
0 (0) 
0 (0) 
621 (79) 
2 (2) 
(Diamond Princess)",,,,,,,,,,,,,,,,,,,,,,20200220,31
,,,,,,,,,,,,,,,,,,,,,,20200220,31
,,,,,,,,,,,,,,,,,,,,,,20200220,31
,,,,,,,,,,,,,,,,,,,,,,20200220,31
,,,,,,,,,,,,,,,,,,,,,,20200220,31
,,,,,,,,,,,,,,,,,,,,,,20200220,31
,,,,,,,,,,,,,,,,,,,,,,20200220,31
