0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,date,sitrep
Country/Territory/Area,"Confirmed* 
cases (new)",Likely place of exposure†,,,"Total cases with site of 
transmission under 
investigation (new)","Total 
deaths 
(new)",,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
,,"China 
(new)","Outside 
reporting 
country and 
outside China 
(new)","In 
reporting 
country 
(new)",,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Western Pacific Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Republic of Korea,1261 (284),13 (0),4 (0),605 (0),639 (284),12 (2),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Japan,164 (7),28 (0),8 (1),116 (6),12 (0),1 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Singapore,91 (1),24 (0),0 (0),67 (1),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Australia,23 (1),12 (0),8 (1),3 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Malaysia,22 (0),18 (0),2 (0),2 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Viet Nam,16 (0),8 (0),0 (0),8 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Philippines,3 (0),3 (0),0 (0),0 (0),0 (0),1 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
South-East Asia Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
"Thailand 
40 (3) 
23 (0) 
0 (0) 
7 (0) 
10 (3) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
"India 
3 (0) 
3 (0) 
0 (0) 
0 (0) 
0 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
"Nepal 
1 (0) 
1 (0) 
0 (0) 
0 (0) 
0 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
"Sri Lanka 
1 (0) 
1 (0) 
0 (0) 
0 (0) 
0 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Region of the Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
"United States of America 
53 (0) 
14 (0) 
36 (0) 
2 (0) 
1 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
"Canada 
10 (0) 
7 (0) 
1 (0) 
1 (0) 
1 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
European Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Italy,322 (93),3 (0),0 (0),121 (0),198 (93),11 (5),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Germany,18 (2),2 (0),2 (2),14 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
The United Kingdom,13 (0),2 (0),10 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
France,12 (0),5 (0),0 (0),7 (0),0 (0),1 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Austria,2 (2),0 (0),2 (2),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Croatia,2 (2),0 (0),1 (1),0 (0),1 (1),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Israel,2 (0),0 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Spain,2 (0),0 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Finland,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Switzerland,1 (1),0 (0),1 (1),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Eastern Mediterranean Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Iran (Islamic Republic of),95 (34),0 (0),0 (0),28 (0),67 (34),15 (3),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Bahrain,26 (18),0 (0),26 (18),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
United Arab Emirates,13 (0),6 (0),2 (0),5 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Kuwait,12 (4),0 (0),12 (4),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Iraq,5 (4),0 (0),5 (4),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Oman,4 (2),0 (0),4 (2),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Afghanistan,1 (0),0 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Egypt,1 (0),0 (0),0 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Lebanon,1 (0),0 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
African Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
"Algeria 
1 (1) 
0 (0) 
1 (1) 
0 (0) 
0 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
"Subtotal for all regions 
2227 (459) 
179 (0) 
131 (37) 
988 (7) 
929 (415) 
41 (10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
"International conveyance‡ 
691 (0) 
0 (0) 
0 (0) 
0 (0) 
691 (0) 
3 (0) 
(Diamond Princess)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
"Grand total§ 
2918 (459) 
179 (0) 
131 (37) 
988 (7) 
929 (415) 
44 (10)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
