0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,date,sitrep
,Australia,15 (0),12 (0),3 (0),0 (0),0 (0),,,,,,,,,,,,,,20200217,28
,Philippines,3 (0),3 (0),0 (0),0 (0),1 (0),,,,,,,,,,,,,,20200217,28
,Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200217,28
South-East Asia Region,Thailand,35 (1),23 (0),7 (0),5 (1),0 (0),,,,,,,,,,,,,,20200217,28
,India,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200217,28
,Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200217,28
,Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200217,28
Region of the Americas,"United States of 
America",15 (0),13 (0),2 (0),0 (0),0 (0),,,,,,,,,,,,,,20200217,28
,Canada,7 (0),6 (0),0 (0),1 (0),0 (0),,,,,,,,,,,,,,20200217,28
European Region,Germany,16 (0),2 (0),14 (0),0 (0),0 (0),,,,,,,,,,,,,,20200217,28
,France,12 (0),5 (0),7 (0),0 (0),1 (0),,,,,,,,,,,,,,20200217,28
,The United Kingdom,9 (0),2 (0),7** (0),0 (0),0 (0),,,,,,,,,,,,,,20200217,28
,Italy,3 (0),3 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200217,28
,Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200217,28
,Spain,2 (0),0 (0),2†† (0),0 (0),0 (0),,,,,,,,,,,,,,20200217,28
,Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200217,28
,Finland,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200217,28
,Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,20200217,28
"Eastern Mediterranean 
Region",United Arab Emirates,9 (1),6 (0),2 (1),1 (0),0 (0),,,,,,,,,,,,,,20200217,28
,Egypt,1 (0),0 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,20200217,28
Other,"International 
conveyance (Japan)",454‡‡ (99),0 (0),0 (0),454 (99),0 (0),,,,,,,,,,,,,,20200217,28
,,,,,,,,,,,,,,,,,,,,20200217,28
,,,,,,,,,,,,,,,,,,,,20200217,28
,,,,,,,,,,,,,,,,,,,,20200217,28
,,,,,,,,,,,,,,,,,,,,20200217,28
,,,,,,,,,,,,,,,,,,,,20200217,28
,,,,,,,,,,,,,,,,,,,,20200217,28
,,,,,,,,,,,,,,,,,,,,20200217,28
,,,,,,,,,,,,,,,,,,,,20200217,28
