0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,date,sitrep
Malta,195,7,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Georgia,148,27,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Montenegro,140,20,2,0,Local transmission,0,,,,,,,,,,,20200403,74
Kyrgyzstan,130,15,1,1,Local transmission,0,,,,,,,,,,,20200403,74
Liechtenstein,75,3,0,0,Under investigation,0,,,,,,,,,,,20200403,74
Monaco,37,0,0,0,Local transmission,2,,,,,,,,,,,20200403,74
Holy See,7,1,0,0,Under investigation,0,,,,,,,,,,,20200403,74
Territories**,,,,,,,,,,,,,,,,,20200403,74
Faroe Islands,177,4,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Kosovo[1],126,1,1,0,Local transmission,0,,,,,,,,,,,20200403,74
Gibraltar,81,12,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Jersey,81,0,2,0,Local transmission,1,,,,,,,,,,,20200403,74
Guernsey,91,13,1,0,Local transmission,0,,,,,,,,,,,20200403,74
Isle of Man,71,6,1,1,Local transmission,0,,,,,,,,,,,20200403,74
Greenland,10,0,0,0,Under investigation,5,,,,,,,,,,,20200403,74
South-East Asia Region,,,,,,,,,,,,,,,,,20200403,74
"India 
1965 
329 
50 
12 
Local transmission 
0",,,,,,,,,,,,,,,,,20200403,74
"Thailand 
1875 
104 
15 
3 
Local transmission 
0",,,,,,,,,,,,,,,,,20200403,74
"Indonesia 
1790 
113 
170 
13 
Local transmission 
0",,,,,,,,,,,,,,,,,20200403,74
Sri Lanka,148,5,3,1,Local transmission,0,,,,,,,,,,,20200403,74
Bangladesh,56,2,6,0,Local transmission,0,,,,,,,,,,,20200403,74
Maldives,19,1,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Myanmar,16,1,1,0,Local transmission,0,,,,,,,,,,,20200403,74
Nepal,6,1,0,0,Imported cases only,0,,,,,,,,,,,20200403,74
Bhutan,5,1,0,0,Imported cases only,0,,,,,,,,,,,20200403,74
Timor-Leste,1,0,0,0,Imported cases only,13,,,,,,,,,,,20200403,74
Eastern Mediterranean Region,,,,,,,,,,,,,,,,,20200403,74
"Iran (Islamic Republic 
of)",50468,2875,3160,124,Local transmission,0,,,,,,,,,,,20200403,74
Pakistan,2450,159,35,4,Local transmission,0,,,,,,,,,,,20200403,74
Saudi Arabia,1885,165,21,5,Local transmission,0,,,,,,,,,,,20200403,74
United Arab Emirates,1024,210,8,0,Local transmission,0,,,,,,,,,,,20200403,74
Qatar,949,114,3,1,Local transmission,0,,,,,,,,,,,20200403,74
Egypt,865,86,58,6,Local transmission,0,,,,,,,,,,,20200403,74
Iraq,772,44,54,2,Local transmission,0,,,,,,,,,,,20200403,74
Morocco,735,59,47,8,Local transmission,0,,,,,,,,,,,20200403,74
Bahrain,643,74,4,0,Local transmission,0,,,,,,,,,,,20200403,74
Lebanon,508,29,17,5,Local transmission,0,,,,,,,,,,,20200403,74
Tunisia,455,32,14,2,Local transmission,0,,,,,,,,,,,20200403,74
Kuwait,417,75,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Jordan,299,21,5,0,Local transmission,0,,,,,,,,,,,20200403,74
Afghanistan,269,34,5,1,Local transmission,0,,,,,,,,,,,20200403,74
Oman,252,21,1,0,Local transmission,0,,,,,,,,,,,20200403,74
Djibouti,41,7,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Syrian Arab Republic,16,6,2,0,Imported cases only,0,,,,,,,,,,,20200403,74
Libya,10,0,1,1,Local transmission,2,,,,,,,,,,,20200403,74
Sudan,8,1,2,0,Local transmission,0,,,,,,,,,,,20200403,74
Somalia,5,0,0,0,Imported cases only,2,,,,,,,,,,,20200403,74
Territories**,,,,,,,,,,,,,,,,,20200403,74
"occupied Palestinian 
165 
31 
1 
0 
Local transmission 
0 
territory",,,,,,,,,,,,,,,,,20200403,74
Region of the Americas,,,,,,,,,,,,,,,,,20200403,74
"United States of 
America",213600,26298,4793,947,Local transmission,0,,,,,,,,,,,20200403,74
Canada,10114,1109,127,22,Local transmission,0,,,,,,,,,,,20200403,74
Brazil,6836,1119,241,40,Local transmission,0,,,,,,,,,,,20200403,74
Chile,3404,373,18,2,Local transmission,0,,,,,,,,,,,20200403,74
Ecuador,3163,791,120,0,Local transmission,0,,,,,,,,,,,20200403,74
Dominican Republic,1380,96,60,3,Local transmission,0,,,,,,,,,,,20200403,74
Mexico,1378,163,37,8,Local transmission,0,,,,,,,,,,,20200403,74
Peru,1323,0,41,17,Local transmission,1,,,,,,,,,,,20200403,74
Panama,1317,136,32,2,Local transmission,0,,,,,,,,,,,20200403,74
Argentina,1133,79,31,4,Local transmission,0,,,,,,,,,,,20200403,74
Colombia,1065,159,17,1,Local transmission,0,,,,,,,,,,,20200403,74
Costa Rica,375,28,2,0,Local transmission,0,,,,,,,,,,,20200403,74
Uruguay,350,12,4,2,Local transmission,0,,,,,,,,,,,20200403,74
Cuba,233,21,6,0,Local transmission,0,,,,,,,,,,,20200403,74
Honduras,219,47,14,4,Local transmission,0,,,,,,,,,,,20200403,74
"Venezuela (Bolivarian 
Republic of)",144,1,3,0,Local transmission,0,,,,,,,,,,,20200403,74
"Bolivia (Plurinational 
State of)",123,8,8,1,Local transmission,0,,,,,,,,,,,20200403,74
Trinidad and Tobago,90,1,5,0,Local transmission,0,,,,,,,,,,,20200403,74
Paraguay,77,8,3,0,Local transmission,0,,,,,,,,,,,20200403,74
Guatemala,47,8,1,0,Local transmission,0,,,,,,,,,,,20200403,74
Barbados,45,12,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Jamaica,44,6,3,2,Local transmission,0,,,,,,,,,,,20200403,74
El Salvador,41,9,2,1,Local transmission,0,,,,,,,,,,,20200403,74
Bahamas,21,6,1,1,Local transmission,0,,,,,,,,,,,20200403,74
Guyana,19,0,4,2,Local transmission,1,,,,,,,,,,,20200403,74
Haiti,16,0,0,0,Imported cases only,1,,,,,,,,,,,20200403,74
Saint Lucia,13,0,0,0,Local transmission,1,,,,,,,,,,,20200403,74
Dominica,11,0,0,0,Local transmission,7,,,,,,,,,,,20200403,74
Grenada,10,1,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Saint Kitts and Nevis,8,0,0,0,Imported cases only,2,,,,,,,,,,,20200403,74
Suriname,8,0,0,0,Imported cases only,6,,,,,,,,,,,20200403,74
Antigua and Barbuda,7,0,0,0,Imported cases only,6,,,,,,,,,,,20200403,74
Nicaragua,5,0,1,0,Imported cases only,1,,,,,,,,,,,20200403,74
Belize,3,0,0,0,Local transmission,3,,,,,,,,,,,20200403,74
"Saint Vincent and the 
Grenadines",2,1,0,0,Imported cases only,0,,,,,,,,,,,20200403,74
Territories**,,,,,,,,,,,,,,,,,20200403,74
Puerto Rico,316,30,12,1,Local transmission,0,,,,,,,,,,,20200403,74
Martinique,131,3,3,0,Local transmission,0,,,,,,,,,,,20200403,74
Guadeloupe,128,3,6,0,Local transmission,0,,,,,,,,,,,20200403,74
Aruba,60,5,0,0,Local transmission,0,,,,,,,,,,,20200403,74
French Guiana,55,4,0,0,Local transmission,0,,,,,,,,,,,20200403,74
"United States Virgin 
Islands",33,3,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Bermuda,32,0,0,0,Local transmission,1,,,,,,,,,,,20200403,74
Cayman Islands,22,8,1,0,Local transmission,0,,,,,,,,,,,20200403,74
Saint Martin,22,1,2,0,Under investigation,0,,,,,,,,,,,20200403,74
Sint Maarten,18,12,1,1,Imported cases only,0,,,,,,,,,,,20200403,74
Curaçao,11,0,1,0,Imported cases only,3,,,,,,,,,,,20200403,74
Saint Barthélemy,6,0,0,0,Under investigation,3,,,,,,,,,,,20200403,74
Montserrat,5,0,0,0,Imported cases only,6,,,,,,,,,,,20200403,74
"Turks and Caicos 
Islands",5,0,0,0,Local transmission,3,,,,,,,,,,,20200403,74
British Virgin Islands,3,0,0,0,Imported cases only,2,,,,,,,,,,,20200403,74
Anguilla,2,0,0,0,Local transmission,7,,,,,,,,,,,20200403,74
African Region,,,,,,,,,,,,,,,,,20200403,74
South Africa,1462,82,5,0,Local transmission,0,,,,,,,,,,,20200403,74
Algeria,986,139,83,25,Local transmission,0,,,,,,,,,,,20200403,74
Burkina Faso,261,0,14,0,Local transmission,2,,,,,,,,,,,20200403,74
Cameroon,246,107,7,1,Local transmission,0,,,,,,,,,,,20200403,74
Ghana,204,9,5,0,Local transmission,0,,,,,,,,,,,20200403,74
Senegal,195,5,1,0,Local transmission,0,,,,,,,,,,,20200403,74
Côte d’Ivoire,190,0,1,1,Local transmission,1,,,,,,,,,,,20200403,74
Nigeria,174,35,2,0,Local transmission,0,,,,,,,,,,,20200403,74
Mauritius,169,15,7,2,Local transmission,0,,,,,,,,,,,20200403,74
"Democratic Republic 
of the Congo",134,11,13,2,Local transmission,0,,,,,,,,,,,20200403,74
Kenya,110,29,3,2,Local transmission,0,,,,,,,,,,,20200403,74
Rwanda,84,2,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Niger,74,0,5,0,Local transmission,1,,,,,,,,,,,20200403,74
Madagascar,65,12,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Guinea,52,22,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Uganda,44,0,0,0,Local transmission,1,,,,,,,,,,,20200403,74
Congo,41,19,2,0,Local transmission,0,,,,,,,,,,,20200403,74
Togo,39,3,2,0,Local transmission,0,,,,,,,,,,,20200403,74
Zambia,39,3,1,1,Local transmission,0,,,,,,,,,,,20200403,74
Ethiopia,31,5,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Mali,28,0,3,3,Local transmission,1,,,,,,,,,,,20200403,74
Eritrea,20,5,0,0,Imported cases only,0,,,,,,,,,,,20200403,74
"United Republic of 
Tanzania",20,0,1,0,Local transmission,1,,,,,,,,,,,20200403,74
Gabon,18,11,1,0,Imported cases only,0,,,,,,,,,,,20200403,74
Equatorial Guinea,15,1,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Benin,13,0,0,0,Imported cases only,1,,,,,,,,,,,20200403,74
Namibia,13,2,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Mozambique,10,0,0,0,Local transmission,1,,,,,,,,,,,20200403,74
Seychelles,10,0,0,0,Imported cases only,1,,,,,,,,,,,20200403,74
Eswatini,9,0,0,0,Imported cases only,6,,,,,,,,,,,20200403,74
Guinea-Bissau,9,0,0,0,Imported cases only,2,,,,,,,,,,,20200403,74
Angola,8,0,2,0,Imported cases only,1,,,,,,,,,,,20200403,74
"Central African 
Republic",8,0,0,0,Imported cases only,1,,,,,,,,,,,20200403,74
Zimbabwe,8,0,1,0,Local transmission,2,,,,,,,,,,,20200403,74
Chad,7,0,0,0,Imported cases only,2,,,,,,,,,,,20200403,74
Liberia,6,0,0,0,Local transmission,1,,,,,,,,,,,20200403,74
Cabo Verde,5,0,1,0,Imported cases only,6,,,,,,,,,,,20200403,74
Mauritania,5,0,0,0,Imported cases only,5,,,,,,,,,,,20200403,74
Botswana,4,1,1,0,Imported cases only,0,,,,,,,,,,,20200403,74
Gambia,4,1,1,0,Imported cases only,0,,,,,,,,,,,20200403,74
Malawi,3,3,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Burundi,2,0,0,0,Imported cases only,2,,,,,,,,,,,20200403,74
Sierra Leone,2,0,0,0,Imported cases only,1,,,,,,,,,,,20200403,74
Territories**,,,,,,,,,,,,,,,,,20200403,74
Réunion,308,27,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Mayotte,128,12,2,0,Local transmission,0,,,,,,,,,,,20200403,74
"Subtotal for all 
regions",971 591,75 828,50 310,4822,,,,,,,,,,,,,20200403,74
"International 
conveyance (Diamond 
Princess)",712,0,11,0,Local transmission,18,,,,,,,,,,,20200403,74
Grand total,972 303,75 828,50 321,4822,,,,,,,,,,,,,20200403,74
,,,,,,,,,,,,,,,,,20200403,74
,,,,,,,,,,,,,,,,,20200403,74
,,,,,,,,,,,,,,,,,20200403,74
