0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,sitrep
Guatemala,1,0,1,0,Imported cases only,2,,,,,,,,,,,,,,,,,20200317,57
"Saint Vincent and the 
Grenadines",1,0,0,0,Imported cases only,4,,,,,,,,,,,,,,,,,20200317,57
Suriname,1,0,0,0,Imported cases only,1,,,,,,,,,,,,,,,,,20200317,57
Territories**,,,,,,,,,,,,,,,,,,,,,,,20200317,57
Guadeloupe,18,12,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Martinique,16,1,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
French Guiana,7,0,0,0,Imported cases only,3,,,,,,,,,,,,,,,,,20200317,57
Curaçao,3,1,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Puerto Rico,3,0,0,0,Imported cases only,3,,,,,,,,,,,,,,,,,20200317,57
Saint Barthelemy,3,0,0,0,Under investigation,1,,,,,,,,,,,,,,,,,20200317,57
Aruba,2,2,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Saint Martin,2,0,0,0,Under investigation,14,,,,,,,,,,,,,,,,,20200317,57
"United States Virgin 
Islands",2,2,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Cayman Islands,1,0,1,0,Imported cases only,3,,,,,,,,,,,,,,,,,20200317,57
African Region,,,,,,,,,,,,,,,,,,,,,,,20200317,57
South Africa,62,11,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Algeria,60,11,4,1,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Senegal,27,1,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Burkina Faso,15,0,0,0,Imported cases only,1,,,,,,,,,,,,,,,,,20200317,57
Rwanda,7,2,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Cote d’Ivoire,6,3,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Ghana,6,0,0,0,Imported cases only,1,,,,,,,,,,,,,,,,,20200317,57
Cameroon,5,2,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Ethiopia,5,4,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Seychelles,4,2,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
"Democratic Republic 
of the Congo",3,1,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Kenya,3,2,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Namibia,2,0,0,0,Imported cases only,2,,,,,,,,,,,,,,,,,20200317,57
Nigeria,2,0,0,0,Imported cases only,8,,,,,,,,,,,,,,,,,20200317,57
Benin,1,1,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
"Central African 
Republic",1,0,0,0,Imported cases only,2,,,,,,,,,,,,,,,,,20200317,57
Congo,1,0,0,0,Imported cases only,2,,,,,,,,,,,,,,,,,20200317,57
Equatorial Guinea,1,0,0,0,Imported cases only,2,,,,,,,,,,,,,,,,,20200317,57
Eswatini,1,0,0,0,Imported cases only,2,,,,,,,,,,,,,,,,,20200317,57
Gabon,1,0,0,0,Imported cases only,3,,,,,,,,,,,,,,,,,20200317,57
Guinea,1,0,0,0,Imported cases only,3,,,,,,,,,,,,,,,,,20200317,57
Liberia,1,1,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Mauritania,1,0,0,0,Imported cases only,2,,,,,,,,,,,,,,,,,20200317,57
Togo,1,0,0,0,Imported cases only,10,,,,,,,,,,,,,,,,,20200317,57
