0,1,2,3,4,5,6,7,8,9,10,date,sitrep
Faroe Islands,9,6,0,0,Imported cases only,0,,,,,20200315,55
Gibraltar,1,0,0,0,Under investigation,11,,,,,20200315,55
Guernsey,1,0,0,0,Imported cases only,5,,,,,20200315,55
Jersey,2,0,0,0,Imported cases only,2,,,,,20200315,55
South-East Asia Region,,,,,,,,,,,20200315,55
Indonesia,117,48,4,1,Local transmission,0,,,,,20200315,55
India,107,25,2,0,Local transmission,0,,,,,20200315,55
Thailand,75,0,1,0,Local transmission,2,,,,,20200315,55
Sri Lanka,11,5,0,0,Local transmission,0,,,,,20200315,55
Maldives,10,1,0,0,Local transmission,0,,,,,20200315,55
Bangladesh,3,0,0,0,Local transmission,6,,,,,20200315,55
Bhutan,1,0,0,0,Imported cases only,9,,,,,20200315,55
Nepal,1,0,0,0,Imported cases only,51,,,,,20200315,55
Eastern Mediterranean Region,,,,,,,,,,,20200315,55
"Iran (Islamic Republic 
of)",12729,1365,608,94,Local transmission,0,,,,,20200315,55
Qatar,337,75,0,0,Local transmission,0,,,,,20200315,55
Bahrain,211,1,0,0,Local transmission,0,,,,,20200315,55
Kuwait,112,12,0,0,Local transmission,0,,,,,20200315,55
Saudi Arabia,103,41,0,0,Local transmission,0,,,,,20200315,55
Egypt,93,0,2,0,Local transmission,1,,,,,20200315,55
Iraq,93,0,9,0,Local transmission,1,,,,,20200315,55
Lebanon,93,16,3,0,Local transmission,0,,,,,20200315,55
United Arab Emirates,85,0,0,0,Local transmission,2,,,,,20200315,55
Pakistan,28,7,0,0,Imported cases only,0,,,,,20200315,55
Oman,20,1,0,0,Imported cases only,0,,,,,20200315,55
Morocco,18,11,1,0,Local transmission,0,,,,,20200315,55
Tunisia,16,0,0,0,Local transmission,1,,,,,20200315,55
Afghanistan,10,3,0,0,Imported cases only,0,,,,,20200315,55
Jordan,1,0,0,0,Imported cases only,12,,,,,20200315,55
Sudan,1,0,0,0,Imported cases only,1,,,,,20200315,55
Territories**,,,,,,,,,,,20200315,55
"occupied Palestinian 
territory 
38 
3 
0 
0 
Local transmission 
1",,,,,,,,,,,20200315,55
Region of the Americas,,,,,,,,,,,20200315,55
"United States of 
1678 
0 
41 
0 
Local transmission 
1",,,,,,,,,,,20200315,55
America,,,,,,,,,,,20200315,55
Canada,244,68,1,0,Local transmission,0,,,,,20200315,55
Brazil,121,23,0,0,Local transmission,0,,,,,20200315,55
Chile,61,18,0,0,Local transmission,0,,,,,20200315,55
Argentina,45,11,2,0,Local transmission,0,,,,,20200315,55
Peru,43,15,0,0,Local transmission,0,,,,,20200315,55
Mexico,41,15,0,0,Imported cases only,0,,,,,20200315,55
Panama,27,0,1,0,Local transmission,1,,,,,20200315,55
Colombia,24,8,0,0,Local transmission,0,,,,,20200315,55
Costa Rica,23,0,0,0,Local transmission,1,,,,,20200315,55
Ecuador,23,0,0,0,Local transmission,1,,,,,20200315,55
Jamaica,8,1,0,0,Local transmission,0,,,,,20200315,55
Guyana,1,0,1,0,Imported cases only,2,,,,,20200315,55
Paraguay,6,0,0,0,Local transmission,1,,,,,20200315,55
Dominican Republic,5,0,0,0,Imported cases only,5,,,,,20200315,55
Cuba,4,0,0,0,Imported cases only,1,,,,,20200315,55
"Bolivia (Plurinational 
State of)",3,0,0,0,Imported cases only,2,,,,,20200315,55
Puerto Rico,3,0,0,0,Imported cases only,1,,,,,20200315,55
Honduras,2,0,0,0,Imported cases only,3,,,,,20200315,55
"Venezuela (Bolivarian 
Republic of)",2,0,0,0,Imported cases only,1,,,,,20200315,55
Antigua and Barbuda,1,0,0,0,Imported cases only,1,,,,,20200315,55
"Saint Vincent and the 
Grenadines",1,0,0,0,Imported cases only,2,,,,,20200315,55
Trinidad and Tobago,1,0,0,0,Imported cases only,1,,,,,20200315,55
Territories**,,,,,,,,,,,20200315,55
French Guiana,7,1,0,0,Imported cases only,2,,,,,20200315,55
Martinique,10,4,0,0,Imported cases only,0,,,,,20200315,55
Saint Martin,2,0,0,0,Under investigation,12,,,,,20200315,55
Saint Barthelemy,1,0,0,0,Under investigation,12,,,,,20200315,55
Cayman Islands,1,0,0,0,Imported cases only,1,,,,,20200315,55
Guadeloupe,3,2,0,0,Imported cases only,0,,,,,20200315,55
Curaçao,2,2,0,0,Imported cases only,0,,,,,20200315,55
African Region,,,,,,,,,,,20200315,55
South Africa,38,21,0,0,Local transmission,0,,,,,20200315,55
Algeria,37,11,3,1,Local transmission,0,,,,,20200315,55
Senegal,21,11,0,0,Local transmission,0,,,,,20200315,55
Burkina Faso,3,1,0,0,Imported cases only,0,,,,,20200315,55
Cameroon,3,1,0,0,Local transmission,0,,,,,20200315,55
Cote d’Ivoire,3,2,0,0,Imported cases only,0,,,,,20200315,55
"Democratic Republic 
of the Congo",2,0,0,0,Imported cases only,1,,,,,20200315,55
Ghana,2,1,0,0,Imported cases only,0,,,,,20200315,55
Namibia,2,2,0,0,Imported cases only,0,,,,,20200315,55
Nigeria,2,0,0,0,Imported cases only,6,,,,,20200315,55
"Central African 
Republic",1,1,0,0,Imported cases only,0,,,,,20200315,55
Congo,1,1,0,0,Imported cases only,0,,,,,20200315,55
Equatorial Guinea,1,1,0,0,Imported cases only,0,,,,,20200315,55
Eswatini,1,1,0,0,Imported cases only,0,,,,,20200315,55
Ethiopia,1,0,0,0,Imported cases only,1,,,,,20200315,55
Gabon,1,0,0,0,Imported cases only,1,,,,,20200315,55
Guinea,1,0,0,0,Imported cases only,1,,,,,20200315,55
"Kenya 
1 
0 
0 
0 
Imported cases only 
1",,,,,,,,,,,20200315,55
"Mauritania 
1 
1 
0 
0 
Imported cases only 
0",,,,,,,,,,,20200315,55
"Togo 
1 
0 
0 
0 
Imported cases only 
8",,,,,,,,,,,20200315,55
Territories**,,,,,,,,,,,20200315,55
Réunion,6,1,0,0,Imported cases only,0,,,,,20200315,55
Mayotte,1,1,0,0,Imported cases only,0,,,,,20200315,55
"Subtotal for all 
regions",71772,10955,2524,333,,,,,,,20200315,55
"International 
conveyance 
(Diamond Princess)",697,0,7,0,Local transmission,1,,,,,20200315,55
Grand total,72469,10955,2531,333,,,,,,,20200315,55
,,,,,,,,,,,20200315,55
,,,,,,,,,,,20200315,55
,,,,,,,,,,,20200315,55
