0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,date,sitrep
"Reporting Country/ 
Territory/Area†",,"Total 
confirmed 
new cases","Total 
deaths","Total 
new 
deaths","Transmission 
classification§","Days since last 
Saint Martin,18,0,2,1,Under investigation,1,,,,,,,,,20200401,72
Cayman Islands,12,0,1,0,Imported cases only,1,,,,,,,,,20200401,72
Curaçao,11,0,1,0,Imported cases only,1,,,,,,,,,20200401,72
Saint Barthélemy,6,0,0,0,Under investigation,1,,,,,,,,,20200401,72
Sint Maarten,6,0,0,0,Imported cases only,1,,,,,,,,,20200401,72
Montserrat,5,0,0,0,Imported cases only,4,,,,,,,,,20200401,72
"Turks and Caicos 
Islands",5,0,0,0,Local transmission,1,,,,,,,,,20200401,72
British Virgin Islands,3,1,0,0,Imported cases only,0,,,,,,,,,20200401,72
Anguilla,2,0,0,0,Local transmission,5,,,,,,,,,20200401,72
African Region,,,,,,,,,,,,,,,20200401,72
South Africa,1353,27,5,2,Local transmission,0,,,,,,,,,20200401,72
Algeria,584,73,35,4,Local transmission,0,,,,,,,,,20200401,72
Burkina Faso,261,15,14,2,Local transmission,0,,,,,,,,,20200401,72
Senegal,175,13,0,0,Local transmission,0,,,,,,,,,20200401,72
Cote d’Ivoire,169,0,0,0,Local transmission,1,,,,,,,,,20200401,72
Ghana,152,0,5,0,Local transmission,2,,,,,,,,,20200401,72
Mauritius,143,36,5,3,Local transmission,0,,,,,,,,,20200401,72
Cameroon,139,0,6,0,Local transmission,1,,,,,,,,,20200401,72
Nigeria,111,0,1,0,Local transmission,1,,,,,,,,,20200401,72
"Democratic Republic 
of the Congo",109,11,8,0,Local transmission,0,,,,,,,,,20200401,72
Rwanda,75,5,0,0,Local transmission,0,,,,,,,,,20200401,72
Madagascar,53,7,0,0,Local transmission,0,,,,,,,,,20200401,72
Kenya,50,12,1,0,Local transmission,0,,,,,,,,,20200401,72
Zambia,35,0,0,0,Local transmission,1,,,,,,,,,20200401,72
Togo,34,0,1,0,Local transmission,1,,,,,,,,,20200401,72
Uganda,33,0,0,0,Local transmission,2,,,,,,,,,20200401,72
Ethiopia,26,3,0,0,Local transmission,0,,,,,,,,,20200401,72
Niger,20,0,3,0,Local transmission,2,,,,,,,,,20200401,72
Congo,19,0,0,0,Imported cases only,4,,,,,,,,,20200401,72
"United Republic of 
Tanzania",19,0,1,1,Under investigation,1,,,,,,,,,20200401,72
Mali,18,0,0,0,Local transmission,3,,,,,,,,,20200401,72
Guinea,16,0,0,0,Local transmission,2,,,,,,,,,20200401,72
Equatorial Guinea,14,0,0,0,Local transmission,1,,,,,,,,,20200401,72
Namibia,11,0,0,0,Imported cases only,2,,,,,,,,,20200401,72
Benin,9,3,0,0,Imported cases only,0,,,,,,,,,20200401,72
Eswatini,9,0,0,0,Imported cases only,4,,,,,,,,,20200401,72
Guinea-Bissau,9,7,0,0,Imported cases only,0,,,,,,,,,20200401,72
Mozambique,8,0,0,0,Local transmission,3,,,,,,,,,20200401,72
Seychelles,8,0,0,0,Imported cases only,2,,,,,,,,,20200401,72
Zimbabwe,8,3,1,0,Local transmission,0,,,,,,,,,20200401,72
Angola,7,5,2,2,Imported cases only,0,,,,,,,,,20200401,72
Chad,7,2,0,0,Imported cases only,0,,,,,,,,,20200401,72
Gabon,7,0,1,0,Imported cases only,4,,,,,,,,,20200401,72
"Central African 
Republic",6,0,0,0,Imported cases only,4,,,,,,,,,20200401,72
Eritrea,6,0,0,0,Imported cases only,5,,,,,,,,,20200401,72
Cabo Verde,5,0,1,0,Imported cases only,4,,,,,,,,,20200401,72
Mauritania,5,0,0,0,Imported cases only,3,,,,,,,,,20200401,72
Botswana,3,3,0,0,Imported cases only,0,,,,,,,,,20200401,72
Gambia,3,0,1,0,Imported cases only,3,,,,,,,,,20200401,72
Liberia,3,0,0,0,Local transmission,10,,,,,,,,,20200401,72
Burundi,2,2,0,0,Imported cases only,0,,,,,,,,,20200401,72
Sierra Leone,1,1,0,0,Imported cases only,0,,,,,,,,,20200401,72
Territories**,,,,,,,,,,,,,,,20200401,72
Réunion,247,40,0,0,Local transmission,0,,,,,,,,,20200401,72
Mayotte,101,19,0,0,Local transmission,0,,,,,,,,,20200401,72
"Subtotal for all 
regions",822 914,72 736,40 591,4193,,,,,,,,,,,20200401,72
"International 
conveyance (Diamond 
Princess)",712,0,7,0,Local transmission,16,,,,,,,,,20200401,72
Grand total,823 626,72 736,40 598,4193,,,,,,,,,,,20200401,72
,,,,,,,,,,,,,,,20200401,72
,,,,,,,,,,,,,,,20200401,72
,,,,,,,,,,,,,,,20200401,72
