0,1,2,3,4,5,6,7,8,9,10,11,12,date,sitrep
Thailand,75,5,1,0,Local transmission,0,,,,,,,20200313,53
India,74,1,1,1,Local transmission,0,,,,,,,20200313,53
Indonesia,34,0,1,0,Local transmission,1,,,,,,,20200313,53
Maldives,8,0,0,0,Local transmission,2,,,,,,,20200313,53
Bangladesh,3,0,0,0,Local transmission,4,,,,,,,20200313,53
Sri Lanka,3,1,0,0,Imported cases only,0,,,,,,,20200313,53
Bhutan,1,0,0,0,Imported cases only,7,,,,,,,20200313,53
Nepal,1,0,0,0,Imported cases only,49,,,,,,,20200313,53
Territories**,,,,,,,,,,,,,20200313,53
"Réunion 
3 
3 
0 
0 
Imported cases only 
0",,,,,,,,,,,,,20200313,53
Eastern Mediterranean Region,,,,,,,,,,,,,20200313,53
"Iran (Islamic Republic 
of)",10075,1075,429,75,Local transmission,0,,,,,,,20200313,53
Qatar,262,0,0,0,Imported cases only,1,,,,,,,20200313,53
Bahrain,195,6,0,0,Local transmission,0,,,,,,,20200313,53
United Arab Emirates,85,11,0,0,Local transmission,0,,,,,,,20200313,53
Kuwait,80,0,0,0,Imported cases only,1,,,,,,,20200313,53
Iraq,70,0,7,0,Local transmission,1,,,,,,,20200313,53
Egypt,67,0,1,0,Local transmission,1,,,,,,,20200313,53
Lebanon,66,0,3,0,Local transmission,1,,,,,,,20200313,53
Saudi Arabia,21,0,0,0,Imported cases only,1,,,,,,,20200313,53
Pakistan,20,1,0,0,Local transmission,0,,,,,,,20200313,53
Oman,18,0,0,0,Imported cases only,3,,,,,,,20200313,53
Afghanistan,7,0,0,0,Imported cases only,1,,,,,,,20200313,53
Tunisia,7,1,0,0,Imported cases only,0,,,,,,,20200313,53
Morocco,6,1,1,0,Imported cases only,0,,,,,,,20200313,53
Jordan,1,0,0,0,Imported cases only,10,,,,,,,20200313,53
Territories**,,,,,,,,,,,,,20200313,53
"occupied Palestinian 
territory 
31 
1 
0 
0 
Local transmission 
0",,,,,,,,,,,,,20200313,53
Region of the Americas,,,,,,,,,,,,,20200313,53
"United States of 
America",1264,277,36,7,Local transmission,0,,,,,,,20200313,53
Canada,138,45,1,0,Local transmission,0,,,,,,,20200313,53
Brazil,77,25,0,0,Local transmission,0,,,,,,,20200313,53
Chile,33,10,0,0,Local transmission,0,,,,,,,20200313,53
Argentina,31,12,1,0,Imported cases only,0,,,,,,,20200313,53
Costa Rica,22,9,0,0,Local transmission,0,,,,,,,20200313,53
Peru,22,5,0,0,Local transmission,0,,,,,,,20200313,53
Ecuador,17,0,0,0,Local transmission,1,,,,,,,20200313,53
Panama,14,4,1,0,Imported cases only,0,,,,,,,20200313,53
Mexico,12,1,0,0,Imported cases only,0,,,,,,,20200313,53
Colombia,9,0,0,0,Imported cases only,1,,,,,,,20200313,53
Dominican Republic,5,0,0,0,Imported cases only,3,,,,,,,20200313,53
Paraguay,5,0,0,0,Imported cases only,2,,,,,,,20200313,53
"Bolivia (Plurinational 
State of)",3,1,0,0,Imported cases only,0,,,,,,,20200313,53
Cuba,3,3,0,0,Imported cases only,0,,,,,,,20200313,53
Honduras,2,0,0,0,Imported cases only,1,,,,,,,20200313,53
Guyana,1,1,1,1,Imported cases only,0,,,,,,,20200313,53
Jamaica,1,0,0,0,Imported cases only,2,,,,,,,20200313,53
"Saint Vincent and the 
Grenadines",1,1,0,0,Imported cases only,0,,,,,,,20200313,53
Territories**,,,,,,,,,,,,,20200313,53
French Guiana,6,1,0,0,Imported cases only,0,,,,,,,20200313,53
Martinique,4,1,0,0,Imported cases only,0,,,,,,,20200313,53
Saint Martin,2,0,0,0,Under investigation,10,,,,,,,20200313,53
Saint Barthelemy,1,0,0,0,Under investigation,10,,,,,,,20200313,53
African Region,,,,,,,,,,,,,20200313,53
Algeria,25,0,1,0,Local transmission,1,,,,,,,20200313,53
South Africa,17,4,0,0,Imported cases only,0,,,,,,,20200313,53
Senegal,10,6,0,0,Imported cases only,0,,,,,,,20200313,53
Burkina Faso,2,0,0,0,Imported cases only,2,,,,,,,20200313,53
Cameroon,2,0,0,0,Local transmission,6,,,,,,,20200313,53
Nigeria,2,0,0,0,Imported cases only,4,,,,,,,20200313,53
Cote d Ivoire,1,0,0,0,Imported cases only,1,,,,,,,20200313,53
"Democratic Republic 
of the Congo",1,0,0,0,Imported cases only,2,,,,,,,20200313,53
Togo,1,0,0,0,Imported cases only,6,,,,,,,20200313,53
"Subtotal for all 
regions",51071,7488,1768,335,,,,,,,,,20200313,53
"International 
conveyance 
(Diamond Princess)",696,0,7,0,Local transmission,5,,,,,,,20200313,53
Grand total,51767,7488,1775,335,,,,,,,,,20200313,53
,,,,,,,,,,,,,20200313,53
,,,,,,,,,,,,,20200313,53
,,,,,,,,,,,,,20200313,53
