0,1,2,3,4,5,6,7,8,9,date,sitrep
"Saint Barthelemy 
1 
0 
0 
0 
Under investigation 
4",,,,,,,,,,20200307,47
African Region,,,,,,,,,,20200307,47
Algeria,17,5,0,0,Local transmission,0,,,,20200307,47
Senegal,4,0,0,0,Imported cases only,2,,,,20200307,47
Cameroon,2,1,0,0,Local transmission,0,,,,20200307,47
Nigeria,1,0,0,0,Imported cases only,8,,,,20200307,47
South Africa,1,0,0,0,Imported cases only,1,,,,20200307,47
Togo,1,1,0,0,Imported cases only,0,,,,20200307,47
"Subtotal for all 
regions",20418,3633,407,78,,,,,,20200307,47
"International 
conveyance 
(Diamond Princess)",696,0,6,0,Clusters of cases,1,,,,20200307,47
Grand total,21114,3633,413,78,,,,,,20200307,47
,,,,,,,,,,20200307,47
,,,,,,,,,,20200307,47
,,,,,,,,,,20200307,47
